rank	username	minecraft:used/minecraft:crimson_planks
1	beeperbeeper5	10763
2	Yamdalorian	2778
3	Legendosh	2277
4	TheDankPlatypus	2118
5	shadowthemonkey	1863
6	Jekyll	810
7	Mr_Byzantine	772
8	craaaash	727
9	Enderxz3	624
10	Lord_Jord	609
11	Optiprimus	591
12	PigDab	585
13	BiggieDawg	535
14	00000000-0000-0000-0009-01ff0c3e5e4f	523
15	AstreaTSS	502
16	U_Mos_	486
17	12Magner05	471
18	himak1	460
19	Nicserso	445
20	joethahobo	402
21	ShedJr_	378
22	noam464	348
23	Jackattack53	342
24	Marbz_	327
25	Napoleonpancake	318
26	Jonafrog99	315
27	Luigipunch989	313
28	FreakGenius	301
29	lpinfinity	288
30	k_ce	285
31	QuiCreans	273
32	Billious	270
33	Jimb0nat0r	269
34	EdGalbraith	263
35	taengoos	251
36	Touched_Bread	233
37	Lutres_	220
38	Mahoose	160
39	Spacewardharpy7	154
40	Vetomo8000	147
40	Kubeusz2010	147
42	RadarHz	145
43	set67	142
44	pintsizedrogue	130
44	Photosynthesis_s	130
46	Dakar_	125
46	weabis	125
48	diggydog67	124
49	PlasticOtari	106
50	Sleepy_Evelyn	104
50	podduszenie	104
52	Fullut	100
53	Yatitay	91
53	Lez_	91
55	mobunni	86
56	SvenskaHugo	84
56	doublemaki	84
58	SammiWolfGirl	81
59	rarrq	79
60	Manaateee	77
61	King_Pancake1	72
62	eitanzaki	66
63	steppe_nomad	65
64	MattieHD	63
65	_Razaria	62
65	Rebytre	62
67	_i_ERROR_i_	60
68	Spaghettatron	58
69	Hpdinosaur	57
70	IncoherentTaylor	52
71	_witch_craft_	50
72	r123moore	48
73	Snowflowe	46
74	Kowcio_	43
75	Mattesco	42
75	Paul_Katan	42
77	TheKingK_	40
78	xxPipperDipperxx	37
79	kekhon	36
79	thewindmillman	36
81	skroobiez	35
81	TheSecondLord	35
83	Eon_57	32
84	Steelynan	31
85	catandmoose	29
85	FiguraDei	29
87	6king6colt6	28
87	Gryglu583	28
89	guccipucci_	27
90	ActualPatbaf	25
91	RebelAndroid	24
92	Segotep999	23
92	chiakirice	23
94	ElementalHeroGJH	21
95	TheWildMateo	20
96	MyMawgDonaldsGon	15
96	royal_2	15
96	fffMike	15
99	_Mythic____	13
100	lunkuku	12
100	djancak	12
100	jnp_gaming	12
103	Awyrlas	11
104	Blackberry1310	10
105	MSK__	8
105	burbankbuilder28	8
105	SvenskaSara	8
105	luseis	8
105	underscore_2	8
110	pixelviolin	7
111	Lorcout	6
111	Deathkob	6
111	_Ruzeeq_	6
111	MC_Skribble	6
111	Sheldor097	6
111	11Brewer	6
117	Wooptey	5
117	Pumpkin_P_Patch	5
117	CalebDHawk	5
120	PazinGaming	4
120	RatatJuice	4
120	BobDeBouwer1337	4
120	500am	4
120	Winklepicker279	4
120	WolfRRN	4
120	Chromary	4
120	Bongo_Drums_	4
120	Werbe	4
120	Syropatathe	4
120	MightyWertu	4
120	ItsDeltaMC	4
120	es0th	4
133	diamondgolem35	3
133	Crowman1	3
133	SteveCraftBlocks	3
133	zToasty69z	3
133	Soplight	3
133	Skippeh	3
139	T045RTY	2
139	mwrty	2
139	Cavetorch	2
142	ActivelyLogicalt	1
142	robertsnose	1
142	Merv__	1
142	Caribouse	1
142	Huwulling	1
142	MrExplorer	1
142	gamerlord1324	1
142	AuroraSkies	1
142	EveryonesUncle	1
142	TechnoNinja64	1
