rank	username	minecraft:used/minecraft:cyan_dye
1	pintsizedrogue	25
2	PlasticOtari	20
3	SingedBread	4
4	SvenskaAlvar	3
4	Kowcio_	3
6	TheSecondLord	2
6	Arceus1975	2
6	KartivGal	2
6	Mattesco	2
6	iSammael	2
11	Kakolbus	1
11	Hyp3rion_	1
11	Legendosh	1
11	Smoke____	1
