rank	username	minecraft:used/minecraft:magenta_bed
1	Mahoose	201
2	FirsTimeGamingTV	106
3	HellsSponge	50
4	royal_2	43
4	ROY4LE	43
6	RebelAndroid	42
7	ApophisNova	40
7	MyNamaSheff	40
9	masskedman	39
10	Blu3beast	32
11	TheEnderMan548	24
12	Manaateee	23
13	Secret_Canary	19
14	SammiWolfGirl	15
15	Bandito_Roamer	14
16	beeperbeeper5	13
17	_Dean_123	12
17	Arceus1975	12
19	jcool7	10
20	TheShyPig	9
20	luseis	9
20	El_Jalapeno	9
23	Kateesaur	6
24	Merv__	5
24	Lez_	5
24	500am	5
24	Avocadogerms	5
24	miramyu	5
29	NatalieTW	4
29	kekhon	4
31	SaucyDark	3
31	Chromary	3
31	thewindmillman	3
31	Mattesco	3
31	YahooScreen9000	3
31	natajimi	3
31	DarlaMeow	3
31	Soul_Atreus	3
31	TechnoNinja64	3
40	Jorrdi	2
40	QuiCreans	2
40	Mimiir345	2
40	SonicRainBow_	2
40	KeruNatsema	2
40	Maenara	2
40	_Crimson_Legate	2
40	OverallConcept	2
40	MAns_44	2
40	monky_irl	2
40	Kowcio_	2
40	Bawbman	2
52	pintsizedrogue	1
52	dimondking777	1
52	Napoleonpancake	1
52	ImpavidArcher	1
52	jushykins	1
52	Jokerman369	1
52	excelsionprime	1
52	KillerNekoRain	1
52	JustAWill_	1
52	FishyBoy3811	1
52	tt4yy4	1
52	Dakar_	1
52	ewpunk	1
52	BinChickenBrine	1
52	Quaintster	1
52	fluddd	1
52	Blaiku	1
52	djancak	1
52	Professor_x8	1
52	Catharsist	1
52	ConnorDanky_	1
52	CattSoup	1
52	Weepingbiel	1
52	Yamdalorian	1
