rank	username	minecraft:used/minecraft:flint_and_steel
1	thewindmillman	7911
2	noam464	4189
3	FreakGenius	3391
4	beeperbeeper5	3065
5	Hyp3rion_	2989
6	eitanzaki	2621
7	12Magner05	2288
8	ediballbearings	2211
9	Kowcio_	2050
10	Apollo_993	1834
11	Jackattack53	1448
12	luseis	1440
13	AdmiralSmoke	1120
14	xzvu	1070
15	lordpipe	1011
16	oscminus	935
17	Blackberry1310	875
18	Spacewardharpy7	868
19	_i_ERROR_i_	783
20	PigDab	777
21	Enderxz3	774
22	claivin	752
23	Eraxa	746
24	bloodbiter	704
25	Segotep999	643
26	YungMaki	627
27	Frozil20	590
28	Alteriity	577
29	TheSecondLord	570
30	k_ce	553
31	HellsSponge	517
32	Tyrannosplart	502
33	EveryonesUncle	499
34	EcksD	479
35	LordSpeed37	477
36	Groovy_MoonBird	471
37	Winklepicker279	455
38	Kakolbus	451
39	rarrq	444
40	MAns_44	423
41	MilleGrug	420
42	lcvezra	416
43	Blu3beast	413
44	Zoeyfortnite	403
45	PaperCanvas	394
45	camando92	394
47	Blaiku	393
48	PazinGaming	388
48	Lez_	388
50	Spenduh	383
51	Jimb0nat0r	379
52	Manaateee	376
53	MightyWertu	353
54	Ezekson	343
55	joethahobo	340
55	MattieHD	340
57	PortlyPete69	337
58	Nargotah	335
59	Lord_Jord	333
60	pintsizedrogue	328
61	TheShyPig	319
62	kekhon	314
63	NomadicRobin_	307
64	Arceus1975	304
65	Di_infiri	299
66	T045RTY	293
66	monky_irl	293
68	Incinere	287
69	yulgur1	284
70	pixelviolin	275
71	Nycteus_	274
72	Bumpy419	268
73	RebelAndroid	267
74	Rebytre	266
75	Mahoose	264
76	ShedJr_	263
77	djancak	261
78	_Boipl_	256
79	cichy096	253
80	Werbe	250
81	dudcreeper	248
82	thescout7	244
83	jcool7	243
84	ECstardust	230
85	fw3xy74	224
85	Hermanni__	224
87	CoffeeNoir	222
88	ImpavidArcher	221
89	h2p_emrld	220
90	DAD_1996	219
91	EMC_	218
92	PlasticOtari	212
93	bigstankyy	209
94	The_Cruncy	206
95	lorywithay	205
96	Legendosh	204
97	Z3braYTIL	202
98	Smashic	200
99	zmpeg	199
100	Skylord_Luke	196
100	El_Jalapeno	196
102	LoboTheLobster	192
103	Rumpletaezer	188
104	ITDV	187
104	m_be9	187
106	lotarp	184
106	Sral7	184
108	Mr_Byzantine	182
108	UCP_TheKingK	182
108	__tomato	182
111	Dogcorn69420	181
112	Inbefour	180
113	Historical_Sand	170
113	500am	170
113	drunkeeez	170
116	SmashingPump	169
117	Luminad3	167
118	Nicserso	165
119	sp00ky_ghost977	162
120	xxPipperDipperxx	160
121	fffMike	159
122	excelsionprime	158
123	teslawolf38	156
124	mihimihimihi	153
124	RadarHz	153
126	LazySupport00	147
127	ccwildfire1	145
128	xolstoi	142
129	Fullut	140
129	ebanana	140
131	mwrty	139
131	MirielThePastor	139
133	diggydog67	138
134	H0UNDFRMH3LL	137
135	PhantomsGhost_	135
135	fluddd	135
137	ROY4LE	134
138	Racengan	132
139	Inchef	131
139	zToasty69z	131
141	TheWildMateo	130
141	MovingFish7	130
143	Groundler	129
144	_Virify_	127
144	BobDeBouwer1337	127
144	minersam1	127
144	Chromary	127
144	Mattesco	127
149	emrekn	126
149	Akoot_	126
151	anbbang	125
152	diamondgolem35	124
152	Jordan_R	124
154	Krowuss	123
154	_Mythic____	123
156	Huwulling	122
156	MissCeleste7	122
158	Majonezzon	120
158	Steelynan	120
160	BreadFruggis	119
160	Soplight	119
162	Crowman1	118
162	ItsHydroMC	118
164	groggregg42	116
165	Austine6698	115
165	LeonelSalamanca	115
167	SingedBread	114
167	2blox_	114
169	ougstur	113
170	DanTheBuilderino	112
170	419mmurphy	112
172	DarlaMeow	109
173	shineh10	108
173	HolyVenom	108
175	Snowflowe	104
175	jnp_gaming	104
177	Gryglu583	103
178	Celeste_121	102
179	Vryistal	101
179	MinttyFressh	101
179	arcanemagic	101
182	PeteO1995	100
183	Zythose	99
183	Eczbek	99
185	Tiberonus	98
186	Ze_BaronKrigler	97
187	Merv__	96
188	yheece	95
189	IronyMan69	94
189	Shogunite	94
191	I_Am_Mushkin	93
191	xDraggin	93
