rank	username	minecraft:used/minecraft:black_candle
1	Manaateee	237
2	beeperbeeper5	132
3	TheSecondLord	120
4	EMC_	46
5	YungMaki	24
6	luseis	22
7	500am	20
8	thewindmillman	19
9	_witch_craft_	17
10	pintsizedrogue	13
10	Crowman1	13
12	Nicserso	11
13	Jimb0nat0r	10
14	Mahoose	8
15	PaperCanvas	6
15	ykgiratina	6
15	iSammael	6
18	Ryker	5
18	Enderxz3	5
20	boatwin	4
21	Apollo_993	3
21	Merv__	3
21	Morgf	3
21	Lez_	3
21	Buuck_	3
21	Kowcio_	3
27	Inchef	2
27	pretty_pink_reno	2
29	Spacewardharpy7	1
29	lordpipe	1
29	Soplight	1
