rank	username	minecraft:used/minecraft:crossbow
1	Hyp3rion_	6668
2	Jackattack53	3151
3	thewindmillman	1653
4	Soplight	1366
5	YungMaki	1042
6	Ezekson	982
7	beeperbeeper5	974
8	Inchef	866
9	ImpavidArcher	863
10	rarrq	800
11	Maenara	758
12	Jimb0nat0r	745
13	Chromary	684
14	Blackberry1310	660
15	Fullut	652
16	Yamdalorian	644
17	Mahoose	602
18	Auseawesome	584
18	TheSecondLord	584
20	lorpus	573
21	teslawolf38	570
22	Nicserso	565
23	Smashic	563
24	Tolhart	555
25	Xclax101	517
26	Prodiginus	516
27	sp00ky_ghost977	510
28	handsome_strong	498
29	PhantomsGhost_	470
30	Onennon	467
31	PazinGaming	456
32	Mattesco	450
33	jnp_gaming	440
34	jacxhadow	424
35	FelixPSY375	386
36	TheKingK_	354
37	Frozil20	352
38	Groovy_MoonBird	351
39	emrekn	349
39	Deathkob	349
41	Akoot_	336
42	h2p_emrld	317
43	eitanzaki	313
44	Jackster03	310
45	SuperPooch06	309
46	_Huge_Male_	296
47	chipklip	283
47	Groundler	283
49	SirPiccardo	256
50	Merv__	255
51	Snowflowe	245
52	_Mythic____	242
53	Touched_Bread	234
54	Blaiku	232
55	m_be9	230
56	Lord_Jord	228
57	noam464	224
58	CollinMH06	219
59	oscminus	213
60	Segotep999	209
61	Kowcio_	208
62	Blu3beast	205
63	Enderxz3	204
64	KarlKaek	203
65	diamondgolem35	202
65	zorin123	202
67	JayToe	191
68	Natty	186
69	Hpdinosaur	185
70	Krowuss	181
71	pixelviolin	178
72	emreknugrlu	177
73	Mr_Byzantine	172
74	EcksD	170
75	himak1	168
76	HellsSponge	165
77	NameGenerat0r	161
78	Jordan_R	156
79	ratglock	155
79	claivin	155
81	ApophisNova	154
81	MyNamaSheff	154
83	Spenduh	153
84	_Virify_	152
85	Rasmanden	151
85	luseis	151
87	StarCookiees_	149
88	Manaateee	146
89	epiksk8erduck	140
90	Sleek_Storm_721	139
91	Sparky_KT	138
92	KermitTheKripple	137
93	PigDab	136
94	Shortest_Man	134
95	Azmodan_246	132
96	SmashingPump	129
97	ECstardust	126
98	Da_Boss_Rani	121
98	StinkyDiplomat	121
100	dudcreeper	120
100	QueenShuvi	120
102	SOA1RR	118
102	Eraxa	118
104	Euclidoris	112
105	seramalen	111
106	erkada	109
107	SkateboardR6	105
108	myaccountwasgone	103
109	peachfuzz1267	101
110	crashomon	100
110	Skippeh	100
112	xxPipperDipperxx	98
112	Legendosh	98
114	Gloomspect	97
114	lava124	97
116	Jahara	94
117	Sqwishy	92
118	Btabtab	91
119	lorywithay	90
120	Tiberonus	88
120	SSytex_X	88
120	Luigipunch989	88
123	pintsizedrogue	86
124	CharlieButt	83
124	Hail_the_wombat	83
126	Reamdin	81
126	valiSW	81
128	Katthaj	80
129	Myszoaz	78
130	fluddd	74
131	CarltheCuck	73
132	joethahobo	71
133	I_Am_Mushkin	70
134	Zetsey	68
134	_TCARREIRA_	68
136	gren_ben	67
136	Jonte0599	67
138	Decaying_Lotus	66
139	dabloons	65
139	censorsheep	65
139	jcool7	65
142	shineh10	64
143	Travka100	63
144	Killercatty78	62
144	impossibleteapot	62
146	Jakobo1337	61
147	k_ce	60
147	Nicky_H225	60
147	Bl1tzFX	60
147	Kubeusz2010	60
147	PlasticOtari	60
152	DarlaMeow	59
152	MAns_44	59
152	hermmm_	59
155	Cryptacity	58
155	mimbo1211	58
157	hanaryheatwave	57
158	Apollo_993	55
158	kalzor	55
160	hm947	54
160	12Magner05	54
160	Racengan	54
160	ConnorTG5	54
164	Huwulling	53
165	heysushii	52
165	Pootis11	52
165	That_tech_head	52
168	ReflexCode	51
168	OreoPenguin_	51
168	momis24	51
171	Ritter__	49
171	Teebone15	49
173	WET_WET_WET	47
173	RedcatVII	47
173	BlankityMcBlank	47
176	mwrty	46
176	ILoveCarrot	46
176	ConnorDanky_	46
179	Flex_Tape_Phil	45
179	Kynigito	45
181	KomputerDude	43
181	Bolete	43
181	Shogunite	43
181	marumochis	43
185	_8man	42
185	Kim_Jong_eel	42
187	noodlepack	41
187	wiqor	41
187	Hiryu27	41
187	F_Uhre	41
187	XxCookiequeenxX	41
187	33sudo	41
193	Hetti301	40
193	r123moore	40
193	Spacewardharpy7	40
193	Lillyyy_x	40
193	Cache3	40
198	MattieHD	38
198	ooga47	38
198	PuFY	38
198	Airem_Core	38
198	_Tilariel_	38
198	2blox_	38
204	Jokerman369	37
204	stellarjay	37
206	H0UNDFRMH3LL	36
206	Sheldor097	36
206	KingMatthew506	36
209	_Razaria	35
209	Lez_	35
209	excelsionprime	35
209	Tmb1	35
209	LetsDoItLive	35
214	set67	34
214	UncreativeArtist	34
214	gcaisawesome	34
214	alanbleachdemon	34
214	HesDemonPants	34
214	skitzxo	34
220	RebelAndroid	33
220	blevster	33
220	shadowthemonkey	33
220	pretty_pink_reno	33
224	skroobiez	32
224	trexgb	32
226	GoofyBread	31
226	FreakGenius	31
226	Pumpkin_P_Patch	31
226	fffMike	31
226	nonarso	31
231	TheMaster972	30
232	Creativebuilder2	29
232	Alteriity	29
232	Historical_Sand	29
235	ExtraDumb	28
235	Kubelz	28
235	HoldThatPee	28
235	AvaRosey	28
235	PortlyPete69	28
235	AltnumberF4	28
235	00000000-0000-0000-0009-01f3e0064b49	28
242	royal_2	27
242	Bumpy419	27
242	Powowowow	27
242	TechnoNinja64	27
246	Zxhir	26
246	Ozixar	26
246	MrExplorer	26
246	Fuhrer_Teemo	26
246	lordpipe	26
251	BlancoFlaco	25
251	Saucepeh	25
251	bloodbiter	25
251	Moetis	25
255	AstreaTSS	24
255	diggydog67	24
257	thescout7	23
257	Razzgriz	23
257	annebolyn	23
260	SyntheticSurgeon	22
260	Z3braYTIL	22
260	Kamflame	22
260	ARandomHedge	22
264	AuroraValkyrie	21
264	TheShyPig	21
264	HolyVenom	21
264	djancak	21
264	TheBananaKat	21
269	TheDiamondCG	20
269	Skylord_Luke	20
269	DeeDeeThonk	20
269	_i_ERROR_i_	20
273	Secret_Canary	19
273	hcb238	19
273	privatemeekly	19
276	Batman922	18
276	bugrq_	18
276	Timfinity4	18
276	fade_emerge78823	18
276	Norrhede	18
276	Werbe	18
276	Sral7	18
283	milkedit	17
283	DinoDoctor_	17
283	MSK__	17
283	ImDisconnected_	17
287	CLG_Kata	16
287	MixerDixer	16
287	XboxPanda	16
287	Mr_Froxy	16
287	FishyBoy3811	16
287	Heisenbberrg	16
293	T045RTY	15
293	Arceus1975	15
293	MustardDrinker	15
293	GooseWithin	15
293	Fuad_R	15
293	EfficientC52	15
293	Yahrto	15
300	VDVKmdr_2k04	14
