rank	username	minecraft:used/minecraft:purpur_stairs
1	m_be9	1316
2	lordpipe	1212
3	beeperbeeper5	1085
4	noam464	548
5	Smoke____	447
6	Blu3beast	275
7	masskedman	245
8	YungMaki	220
9	MakeHistory157	207
10	ProfessorBee	172
11	ProbsNotNova	169
12	Bandito_Roamer	140
13	Mewar	115
14	Fullut	104
14	Nicserso	104
16	PigDab	98
17	TheEnderman548	93
18	claivin	84
19	mwrty	82
20	bigstankyy	81
21	6king6colt6	80
22	vandmanden	72
23	Kowcio_	69
24	Hermanni__	50
25	jnp_gaming	44
26	Powowowow	31
27	AltnumberF4	30
28	Nycteus_	25
29	TheShyPig	22
30	Freak_Genius	20
30	lcvezra	20
32	Maenara	19
32	MightyWertu	19
34	Shogunite	17
35	TheSecondLord	15
36	joethahobo	14
36	loveseeker	14
36	ooga47	14
36	Jiminie	14
40	NameGenerat0r	13
40	fluddd	13
42	Historical_Sand	12
42	gabriels543	12
42	MyNameIsJobo	12
42	Onennon	12
42	Inbefour	12
47	Mr_Byzantine	11
47	MattieHD	11
49	Enderslayerxz3	10
50	kekhon	9
50	Jackattack53	9
50	Hisiste	9
53	Werbe	8
53	yulgur1	8
53	_k2x	8
53	33sudo	8
53	laron58	8
58	ROY4LE	7
58	stahouo	7
58	MissCeleste7	7
61	_Razar	6
61	12Magner05	6
61	shyshyannne	6
61	fred870d	6
61	Spacewardharpy7	6
66	Iagoku	5
66	ColeSnyder	5
66	eitanzaki	5
66	lillips	5
66	Blaiku	5
66	brofrickcheaters	5
72	Rich_Kat	4
72	MangoTheFish	4
72	EveryonesUncle	4
72	LazySupport00	4
72	Eczbek	4
72	Ezekson	4
78	pintsizedrogue	3
78	TooManyDuck	3
78	JuuustYeet	3
78	surfinggiraffejp	3
78	thewindmillman	3
78	CruncyIsTaken	3
78	Xclax101	3
78	MovingFish7	3
78	Sral7	3
87	ssleepless	2
87	SoftSix	2
87	set67	2
87	Awyrlas	2
87	Covalents	2
87	Zaridey	2
87	fr_ser	2
87	Hyp3rion_	2
87	chipklip	2
87	YungWali	2
87	Racengan	2
87	WyngGoy	2
87	Nagasaki_Riku	2
87	Eraxa	2
87	Dogcorn69420	2
102	Lepthymo	1
102	seanitoo	1
102	PhantomsGhost_	1
102	dabloons	1
102	tuckerdoodle	1
102	wickedword	1
102	T045RTY	1
102	awesomeoneme	1
102	bloodbiter	1
102	Smashic	1
102	Motsaro	1
102	SuperPooch06	1
102	Arceus1975	1
102	Shiirazuku	1
102	lizardfightclub	1
102	Gab4101	1
102	Deodorante	1
102	HellsSponge	1
102	Frozil12	1
102	ItzWqlfy	1
102	Groundler	1
102	SingedBread	1
102	ItsJWolff	1
102	Aezekial	1
102	geekbird	1
102	Juh1s	1
102	Fizznut909	1
102	_TCARREIRA_	1
102	tartanboy	1
102	HesDemonPants	1
102	kinas45y5	1
102	FishisTTV	1
