rank	username	minecraft:used/minecraft:bricks
1	EveryonesUncle	8965
2	Legendosh	8840
3	MinttyFressh	6508
4	PlasticOtari	6411
5	Smoke____	5075
6	burbankbuilder28	4561
7	beeperbeeper5	3890
8	El_Jalapeno	3852
9	joethahobo	3687
10	Frozil20	3522
11	rarrq	2844
12	_stets	2674
13	Quotary	2636
14	RodSerlingCringe	2545
15	Merv__	2380
16	Freak_Genius	2366
17	Soplight	2333
18	cog	2258
19	Kakolbus	2243
20	Dedalus36	2136
21	Spacewardharpy7	2083
22	Di_infiri	1993
23	LeauVox4921	1886
24	Mahoose	1814
25	SingedBread	1772
26	iHuntWeeaboos	1755
27	Steelynan	1734
28	Enderslayerxz3	1673
29	EcksDofficial	1600
30	thewindmillman	1398
31	TheShyPig	1110
32	Mr_Byzantine	1092
33	BumbleBeever	1043
34	shdesolt	955
35	oxfordschool	881
36	Onennon	826
37	Ezekson	823
38	Historical_Sand	740
39	Lez_	657
40	m_be9	654
41	Lord_Jord	619
42	Skylord_Luke	608
43	Jiminie	607
44	Mattesco	573
45	ROY4LE	565
46	ShedJr_	507
47	ImDisconnected_	501
48	fkGrim	470
49	Zythose	415
50	Shogunite	413
51	SkateboardR6	401
52	CoffeeNoir	400
53	MyNameIsDakar	395
54	Werbe	392
55	egglapras	366
56	teslawolf38	361
56	ImpavidArcher	361
56	drunkeeez	361
59	Diavri	353
60	TheSecondLord	351
61	chipklip	339
62	Kowcio_	321
63	xxPipperDipperxx	319
64	Jackattack53	318
65	KarlKaek	295
66	seanitoo	284
67	CalebDHawk	282
68	KermitTheKripple	274
69	BilboBaggins23	259
70	JohnPrice	240
71	set67	228
71	Inchef	228
71	RobotMinion101	228
74	kekhon	207
75	Deerfoot	206
76	anbbang	205
77	Jiminbub	188
78	Notta	185
79	Barlycorn	167
80	Jordan_R	166
81	Tommhh	162
82	epiksk8erduck	160
83	SaucyDark	159
84	xorompole	148
85	stuy9	146
86	_3Stump_	141
87	bloomkieren	140
88	dartwaffle	138
89	Felenov	135
90	CueMix	128
91	SquadMonster	125
91	_Bguette_	125
93	NomadicRobin_	118
94	NieToksikpl	115
95	ABUSNA1996	114
96	SteveCraftBlocks	109
97	_naturell	104
98	500am	96
99	dudcreeper	95
100	groofles	90
101	paranoid_plant	88
102	DTwenty	87
103	DarkS0L	76
104	07shiny	75
104	stahouo	75
106	MrExplorer	74
107	Fullut	73
108	2Stout	71
109	DinoDoctor_	66
109	Nicserso	66
111	NotMeanttoChange	63
112	Njensen7	61
113	SpaceGrenadier	60
114	Deathkob	57
115	Blackberry1310	54
116	MyNameIsJobo	51
116	Solar_Power	51
118	Hpdinosaur	49
118	Roikdean	49
118	Meatlaugh	49
121	NameGenerat0r	48
122	__Fanda__	42
123	PegLegPete93	41
123	Marbz_	41
125	RebelAndroid	39
126	wobn	38
127	sp00ky_ghost977	35
128	RatatJuice	34
128	EfficientC52	34
130	Genghis_khan	33
130	kyouma777	33
130	YungMaki	33
133	Quaintster	32
134	littlesophiagirl	30
135	titanlax	29
135	laron58	29
137	Sleek_Storm_721	25
137	Eczbek	25
139	Seindi	24
140	LotusProject	23
140	censorsheep	23
142	Gryglu583	22
143	Chromary	21
143	yaboo88	21
143	HolyVenom	21
143	vandmanden	21
147	Argraol	20
147	eitanzaki	20
147	lcvezra	20
150	shyshyannne	19
151	EcksD	18
152	TheThomas69	17
153	Voltique69	16
153	JustOneQuery	16
153	MangoSalad316	16
156	Queen_Jalapeno	14
156	Rebytre	14
156	Akoot_	14
159	Awyrlas	13
159	00000000-0000-0000-0009-01f16526f034	13
161	UCP_TheKingK	12
162	Winklepicker279	11
163	Incinere	10
163	Donutt	10
165	Hyp3rion_	9
165	PigDab	9
165	Nekomin0	9
165	MeetTheWollo	9
169	John6970	8
169	wrinkledpiglet	8
169	Wowful	8
169	HellsSponge	8
169	Optiprimus	8
169	Zetsey	8
175	YungJakobo	7
175	noam464	7
175	Bucscw24	7
175	Wanjibon	7
179	tuckerdoodle	6
179	Stynxy	6
179	Snowflowe	6
179	Moofyman	6
179	lordpipe	6
179	Kubeusz2010	6
185	Huwulling	5
185	roxycherry	5
185	TakeThis2UrGrave	5
185	Kynigito	5
185	Warlord324	5
190	mwrty	4
190	Kondzik2008	4
190	Sqwishy	4
190	claivin	4
190	sadvavilloso	4
190	__tomato	4
190	SammiWolfGirl	4
190	The_SlideV5	4
198	wickedword	3
198	ThePoliteG	3
198	Spenduh	3
198	BreadBacon	3
198	Yogscast_Manden	3
203	PhantomsGhost_	2
203	Epicguyuk	2
203	wiqor	2
203	Xalithia	2
203	Doom_melon	2
203	NNikitas	2
203	Russiancat1	2
203	KG1999	2
203	pixelviolin	2
203	alderban107	2
203	adiccting01	2
214	pintsizedrogue	1
214	elicobnoah	1
214	itburb	1
214	C0by3llis	1
214	Myszoaz	1
214	Ozixar	1
214	MindyDooWho	1
214	himak1	1
214	Uzbeki_John	1
214	intropass	1
214	r123moore	1
214	zemey	1
214	loveseeker	1
214	LAVA129	1
214	SokaOtaku	1
214	drompje	1
214	iElijah	1
214	738b4f65-6cbd-4ead-ba31-c14211abfb06	1
214	AlexxO_o	1
214	fw3xywashere	1
214	420BreadLizard	1
214	lillips	1
214	JESS_THE_RERE	1
214	The_slideV3	1
214	Nycteus_	1
214	Xclax101	1
214	_czarny	1
214	Blaiku	1
214	Eraxa	1
214	jcool7	1
214	Winston_Ingram	1
214	mawileite	1
214	cichy096	1
214	jnp_gaming	1
214	TechnoNinja64	1
214	Sral7	1
214	kinas45y5	1
