rank	username	minecraft:used/minecraft:netherite_chestplate
1	noam464	11
2	Hyp3rion_	8
3	Rebytre	7
3	Jiminie	7
5	egglapras	6
6	rarrq	5
7	Racengan	4
7	Segotep999	4
9	hm947	2
9	TheSecondLord	2
9	fade_emerge78823	2
9	00000000-0000-0000-0009-01ff0c3e5e4f	2
13	pintsizedrogue	1
13	nataliecool	1
13	littlesophiagirl	1
13	tuckerdoodle	1
13	RebelAndroid	1
13	Myszoaz	1
13	Da_Boss_Rani	1
13	harutoisdaddyy	1
13	Smashic	1
13	Kkanot	1
13	ROY4LE	1
13	xxPipperDipperxx	1
13	Chromary	1
13	The_Fulgurator	1
13	ApophisNova	1
13	LeGold	1
13	Dan_Scha	1
13	Luminad3	1
13	Agent108	1
13	shadowmanu8	1
13	NameGenerat0r	1
13	guitar_hero_101	1
13	Jahbouris	1
13	UCP_TheKingK	1
13	Spenduh	1
13	GlitchyPlate810	1
13	MyNamaSheff	1
13	2blox	1
13	calamariclam_I	1
