rank	username	minecraft:used/minecraft:jungle_slab
1	joethahobo	8639
2	Prodiginus	3750
3	cedric72	2168
4	Smoke____	1905
5	YungMaki	1537
6	the_fireminer	1516
7	BronkerBrum	1443
7	Soplight	1443
9	Steelynan	1353
10	himak1	1025
11	Windo_licker	969
12	6king6colt6	919
13	T045RTY	899
14	PigDab	868
15	kekhon	806
16	soundad	748
17	Winklepicker279	739
18	binman420	738
19	beeperbeeper5	709
20	The_slideV3	656
21	SvenskaHugo	652
22	titanlax	605
23	IWorkAtIkea	578
24	Blackberry1310	554
25	ConnorDanky_	507
26	thescout7	415
27	MyNameIsJobo	364
28	coobert42	363
29	Bandito_Roamer	322
30	tsitrawhy	316
31	bladeefan2009	315
32	Kim_Jong_eel	279
33	ItsDeltaMC	249
34	Deathkob	226
35	Merv__	203
36	EveryonesUncle	200
37	ese_wn_po	178
38	Shogunite	176
38	Enderxz3	176
40	MovingFish7	165
41	Kubelz	149
41	DemTechAlpha	149
43	KingMatthew506	141
44	OffWithTheirHead	130
45	jnp_gaming	127
46	Lekol	124
47	RefluxRatio	119
48	drunkeeez	111
49	CoffeeNoir	108
50	Airem_Core	107
51	SaucyDark	104
52	Onennon	103
53	ShedJr_	102
54	Mahoose	100
55	ImpavidArcher	98
56	TheShyPig	93
56	FreakGenius	93
58	SvenskaAlvar	88
59	Kamflame10	76
59	Kowcio_	76
61	KarlKaek	74
62	Inbefour	71
63	Deerfoot	69
64	Ecplosive	68
65	olliebollie48	61
66	mwrty	54
67	Azmodan_246	53
68	rarrq	52
68	IronicUwU1	52
70	Stiar	51
70	natajimi	51
72	Mr_Byzantine	48
73	gabriels543	47
74	Toiton	43
74	THEKINGLyric10	43
76	Eraza	39
76	El_Jalapeno	39
78	Groundler	38
79	Maenara	37
79	1442	37
79	Cavetorch	37
82	PegLegPete93	36
83	Racengan	35
84	Azorathum	34
85	MattieHD	33
85	Akoot_	33
85	PortlyPete69	33
85	PlasticOtari	33
89	ooga47	32
89	Kukkelikuk	32
91	Hermanni__	31
92	Frozil20	30
92	Fullut	30
94	fluddd	29
94	ItsJunoIGuess	29
96	Werbe	28
97	TheWildMateo	24
98	WET_WET_WET	20
99	TheSecondLord	19
100	capn__crunch	16
101	QuiCreans	15
101	xxPipperDipperxx	15
101	RobotMinion101	15
104	OfficerAnvil	14
105	pintsizedrogue	13
105	eitanzaki	13
107	Sheellky	12
107	Factoroni	12
109	breadbowlgamer	11
109	SpacesickPrism	11
111	PhantomsGhost_	10
111	Cryptacity	10
113	xzvu	9
114	F_Uhre	8
115	Nycteus_	7
116	dimondking777	6
116	teslawolf38	6
116	Crowman1	6
116	Bazongoman	6
116	MightyWertu	6
121	nocturne78	5
122	SmashingPump	4
122	SteveCraftBlocks	4
122	Blu3beast	4
125	_Nuf	3
125	Awyrlas	3
125	noam464	3
125	luseis	3
125	WytchKraft	3
125	07shiny	3
125	lcvezra	3
125	Ezekson	3
133	FirsTimeGamingTV	2
133	ratglock	2
133	Kakolbus	2
133	MAns_44	2
133	Luigipunch989	2
138	dudcreeper	1
138	Historical_Sand	1
138	Ssor69	1
138	Karetoko	1
138	Di_infiri	1
138	thewindmillman	1
138	CarryLine	1
138	Lutres_Torane	1
138	JESS_THE_RERE	1
138	Blaiku	1
138	Typadopoulos	1
138	Spacewardharpy7	1
138	_TCARREIRA_	1
138	Kubeusz2010	1
138	Legendosh	1
