rank	username	minecraft:used/minecraft:prismarine_stairs
1	TheShyPig	549
2	Fullut	489
3	ImpavidArcher	474
4	FreakGenius	464
5	h2p_emrld	420
6	Ezekson	366
7	Lord_Jord	351
8	Legendosh	312
9	hm947	253
10	TheSecondLord	226
11	Merv__	217
12	Vellu21	214
13	Notta	208
14	Powowowow	199
15	PlasticOtari	174
16	Frozil20	157
17	rarrq	143
18	Soplight	126
19	AdmiralSmoke	121
20	LittleBug562	101
21	eitanzaki	97
22	joethahobo	94
23	xDraggin	92
23	xolstoi	92
25	Hiryu27	82
26	Mahoose	72
27	m_be9	60
27	MattieHD	60
29	Enderxz3	58
30	gcaisawesome	57
31	PortlyPete69	48
32	Bumpy419	43
33	EngagedGrub41	33
34	Eraxa	31
35	Incinere	24
36	Arceus1975	20
36	Maenara	20
38	Hyp3rion_	18
39	Di_infiri	16
39	Snowflowe	16
41	Vorlice	14
41	Steelynan	14
41	2blox_	14
44	YungMaki	13
45	Mr_Byzantine	12
46	GooseWithin	9
47	ooga47	8
47	weabis	8
47	Spacewardharpy7	8
50	The_slideV3	7
50	HellsSponge	7
52	Blu3beast	6
52	Groundler	6
54	ratglock	5
54	Manaateee	5
56	EMC_	4
56	Huwulling	4
56	poopybh	4
56	Mattesco	4
60	TechnoNinja64	3
61	pintsizedrogue	2
61	IamCL4SSY	2
63	beeperbeeper5	1
63	CliffEmAll	1
63	kekhon	1
63	noam464	1
63	The_Cruncy	1
63	luseis	1
