rank	username	minecraft:used/minecraft:white_glazed_terracotta
1	mihimihimihi	1273
2	noam464	819
3	Smoke____	718
4	eitanzaki	435
5	Tobinator_007	375
6	Inbefour	335
7	QueenShuvi	289
8	Legendosh	278
9	Spacewardharpy7	245
10	Mahoose	233
11	FreakGenius	223
12	ImpavidArcher	189
13	wwwwinnebagoooo	188
14	Parcc	181
15	jnp_gaming	162
16	tobinwilliams	142
17	Di_infiri	133
18	m_be9	106
19	Merv__	102
20	titanlax	99
21	Tristankill	95
22	RatatJuice	85
23	kekhon	79
24	Steelynan	78
25	SaucyDark	65
26	Tommhh	56
27	lillips	50
28	MightyWertu	44
29	CarltheCuck	37
29	Kim_Jong_eel	37
31	xxPipperDipperxx	34
32	Shogunite	31
33	diggydog67	29
34	lordpipe	27
35	Kamflame10	24
35	non089	24
35	EcksD	24
38	Lez_	22
39	Soplight	16
40	Bumpy419	14
41	PigDab	13
41	Kowcio_	13
43	sxc_	10
43	YungMaki	10
45	ROY4LE	9
45	Blaiku	9
47	Malorn_Aetherius	8
47	Dan_Scha	8
47	StinkyDiplomat	8
50	Sabby65	7
50	Akoot_	7
52	Whiterooster001	5
52	AJplaysMC_	5
52	audiocracked	5
55	_Virify_	4
55	jacxhadow	4
55	ConnorDanky_	4
55	Powowowow	4
55	PlasticOtari	4
60	joethahobo	3
60	burbankbuilder28	3
60	DAD_1996	3
60	RoofTyler	3
60	pixelviolin	3
65	Kubeusz2010	2
66	Hyugo	1
66	QuiCreans	1
66	mwrty	1
66	WET_WET_WET	1
66	F_Uhre	1
66	luseis	1
66	DemTechAlpha	1
66	ItsDeltaMC	1
66	Razzgriz	1
66	EngagedGrub41	1
