rank	username	minecraft:used/minecraft:bamboo_planks
1	k_ce	1567
2	Fullbit_	1320
3	ee_echo_oo	894
4	lpinfinity	854
5	akap47	522
6	Synthoum	463
7	_Duckery	419
8	Napoleonpancake	417
9	Buuck_	372
10	Werbe	309
11	Mr_Byzantine	300
12	Hoid_the_Roamer	245
13	McCakeAh	204
14	Niklas20114552	177
15	_witch_craft_	168
16	CacheOut	147
17	kalzor	134
18	SteadyFeather77	130
19	TheSecondLord	126
20	SpacesickPrism	123
20	robonya_	123
22	Merv__	93
23	Bambuino	83
24	cyuar	82
25	bl1ss0	69
26	Pumpkin_P_Patch	64
27	FiguraDei	44
28	craaaash	40
29	Mr_Froxy	33
30	Enderxz3	31
30	Spaghettatron	31
32	TheWickedBird	26
33	Mattesco	21
34	pintsizedrogue	13
35	beeperbeeper5	11
36	Pandarus_	10
37	lorywithay	9
38	CLG_Kata	8
38	thewindmillman	8
40	PazinGaming	7
41	MAns_44	6
42	BTL_craft	5
43	Mr_Sun15	4
43	Kowcio_	4
43	Steelynan	4
43	Yamdalorian	4
47	IlkeCookes_	3
47	pixelviolin	3
49	noam464	2
49	lordpipe	2
49	Jimb0nat0r	2
52	Caribouse	1
52	PanKarl	1
52	Secret_Canary	1
52	milltesco	1
52	EveryonesUncle	1
