rank	username	minecraft:used/minecraft:deepslate_coal_ore
1	pintsizedrogue	320
2	PlasticOtari	78
3	Hyp3rion_	73
4	AdmiralSmoke	56
5	hanaryheatwave	45
6	Kakolbus	40
7	Enderxz3	37
8	Segotep999	29
9	Nicserso	27
10	ApophisNova	23
10	MyNamaSheff	23
12	TheOuterCore	16
13	SmashingPump	15
13	MinttyFressh	15
13	WYFYoyo	15
16	EMC_	14
16	YungMaki	14
18	Steelynan	11
19	Mr_Byzantine	10
20	prizm_	9
21	Merv__	7
21	TheSecondLord	7
21	Inchef	7
21	hcb238	7
25	Crowman1	6
25	luseis	6
27	gcaisawesome	5
27	Kowcio_	5
29	ITDV	4
29	FreakGenius	4
31	SingedBread	3
31	mihimihimihi	3
31	EngagedGrub41	3
34	Apollo_993	2
34	500am	2
34	ItsDeltaMC	2
37	beeperbeeper5	1
37	noam464	1
37	_Boipl_	1
37	Rebytre	1
37	dartwaffle	1
37	Spacewardharpy7	1
37	MilleGrug	1
37	Jimb0nat0r	1
