rank	username	minecraft:used/minecraft:polished_deepslate
1	Fuad_R	9898
2	RoskobiOne	6062
3	500am	4225
4	iHuntWeeaboos	2103
5	titanlax	2024
6	StinkyDiplomat	1802
7	Mattesco	1706
8	thewindmillman	1529
9	Da_Boss_Rani	1498
10	pintsizedrogue	1110
11	Hermanni__	718
12	RebelAndroid	708
13	Moofyman	678
14	pixelviolin	530
15	lordpipe	525
16	fade_emerge78823	444
17	Smoke____	414
18	beeperbeeper5	348
19	Sleepy_Time_	339
20	TAKrules	268
21	TheWildMateo	235
22	Rebytre	219
23	TJawesome09	200
24	Winklepicker279	188
25	jessemgaming	180
26	EMC_	175
27	PigDab	161
28	TheSecondLord	151
29	Touched_Bread	149
30	benediktine1	120
31	Inchef	115
32	Spenduh	114
32	PlasticOtari	114
34	joethahobo	113
35	Legendosh	94
36	crying_wolf_13	77
37	CoffeeNoir	73
37	Gryglu583	73
39	Ryker	48
40	Skylord_Luke	47
41	JitteryJared2	44
42	groofles	42
42	Steelynan	42
44	Kowcio_	40
44	fffMike	40
46	Jiminie	39
47	Mookle96	37
48	MAns_44	35
49	IdeallyGrey	34
50	sp00ky_ghost977	26
51	lizardfightclub	25
52	UCP_TheKingK	24
53	Kubelz	23
54	00000000-0000-0000-0009-01f898304150	21
55	Jeteight	19
56	EcksD	17
57	Deathkob	16
58	Lord_Jord	15
59	rarrq	12
60	hm947	8
60	12Magner05	8
60	noam464	8
63	Megarboh	5
63	breadbowlgamer	5
63	shrimp_flips	5
66	Merv__	4
66	Hyp3rion_	4
66	RadarHz	4
66	Enderslayerxz3	4
66	00000000-0000-0000-0009-01ff0c3e5e4f	4
71	CalebDHawk	3
72	Smashic	2
72	ApophisNova	2
72	EricAurum	2
72	mobunni	2
72	MyNamaSheff	2
72	AltnumberF4	2
78	SquadMonster	1
78	Jackattack53	1
78	_Boipl_	1
78	Spacewardharpy7	1
78	ItsDeltaMC	1
78	tsitrawhy	1
78	Njensen7	1
78	Ezekson	1
