rank	username	minecraft:used/minecraft:red_sandstone_stairs
1	Frozil20	476
2	Xclax101	101
3	ImpavidArcher	99
4	Cache3	65
5	Mahoose	53
6	LuvLuvLove	50
7	ooga47	34
8	TheShyPig	29
9	Groovy_MoonBird	26
10	El_Jalapeno	19
11	royal_2	18
11	ROY4LE	18
13	RatatJuice	16
14	craaaash	13
14	weabis	13
16	Steelynan	8
17	Mr_Byzantine	7
18	shineh10	6
19	Huwulling	4
20	MattieHD	3
20	TheWildMateo	3
20	FreakGenius	3
23	Merv__	2
23	Di_infiri	2
23	DAD_1996	2
23	Onennon	2
27	beeperbeeper5	1
27	TheSecondLord	1
27	Spacewardharpy7	1
27	Skippeh	1
