rank	username	minecraft:used/minecraft:blackstone_slab
1	thewindmillman	43355
2	Enderslayerxz3	3914
3	Frozil12	3813
4	Smoke____	864
5	pintsizedrogue	738
6	Lord_Jord	649
7	Werbe	637
7	AssEatrAndLicker	637
9	ImpavidArcher	601
10	noam464	586
11	Xalithia	549
12	CalebDHawk	475
13	joethahobo	363
14	Snowflowe	274
15	TheSecondLord	241
16	ogoa	234
17	Blaiku	227
18	Spenduh	207
19	Freak_Genius	201
20	Mahoose	175
21	soundad	151
22	Paint	135
23	HyperCave	127
24	EveryonesUncle	109
25	eitanzaki	103
26	set67	98
27	YungMaki	85
28	fffMike	80
29	PigDab	73
30	cichy096	71
31	Fullut	69
32	SquadMonster	64
32	jacxhadow	64
34	gustarbite	57
35	ApophisNova	53
35	MyNamaSheff	53
37	KartivGal	52
38	Blackberry1310	45
39	rarrq	39
40	KarlKaek	36
41	egglapras	35
42	_Dean_123	31
42	Awyrlas	31
44	beeperbeeper5	28
44	Eraxa	28
46	Dusk_95	23
47	ShedJr_	18
48	Soplight	14
49	Hermanni__	13
50	titanlax	12
50	benediktine1	12
52	Winston_Ingram	9
53	mwrty	7
53	EcksD	7
55	RebelAndroid	6
55	jnp_gaming	6
57	Quinasin	5
58	Hyp3rion_	4
59	RadarHz	2
59	AltnumberF4	2
61	livingdaydreams	1
61	T045RTY	1
61	Historical_Sand	1
61	500am	1
61	xxPipperDipperxx	1
61	Marbz_	1
61	Di_infiri	1
61	MangoTheFish	1
61	Wowful	1
61	Gryglu583	1
61	Spacewardharpy7	1
61	Razzgriz	1
61	jcool7	1
61	Kubeusz2010	1
