rank	username	minecraft:used/minecraft:spider_eye
1	TechnoNinja64	174
2	claivin	35
3	Blackberry1310	34
4	Malorn_Aetherius	32
5	Akoot_	23
6	Smoke____	22
7	chipklip	21
8	HellsSponge	20
9	HesDemonPants	13
10	ShedJr_	12
11	lordpipe	11
12	Blu3beast	9
12	SingedBread	9
14	Mahoose	8
15	mariominejedi	7
15	Shiirazuku	7
15	ediballbearings	7
18	T045RTY	6
18	SuperPooch06	6
18	Nagasaki_Riku	6
21	ZaneABrain	5
21	kekhon	5
21	kinas45y5	5
21	Yahrto	5
25	I_Am_Mushkin	4
25	xxPipperDipperxx	4
25	Quaintster	4
25	YungMaki	4
29	Frozil20	3
29	MSK__	3
29	beeperbeeper5	3
29	Nicky_H225	3
29	DemTechAlpha	3
29	Ezekson	3
29	oxfordschool	3
36	teslawolf38	2
36	6king6colt6	2
36	Begformurrcy	2
36	MOSS000	2
36	joethahobo	2
36	Ssor69	2
36	FirsTimeGamingTV	2
36	rarrq	2
36	Euclidoris	2
36	shdesolt	2
36	Megarboh	2
36	corvidpartyfor6	2
36	squillz105	2
36	Z3braYTIL	2
36	UncreativeArtist	2
36	ROY4LE	2
36	Covalents	2
36	mimbo1211	2
36	Avrelion	2
36	_Boipl_	2
36	Syropatathe	2
36	Karbl	2
36	DarlaMeow	2
36	Freak_Genius	2
36	ThatMan_Dave	2
36	Xclax101	2
36	ayamefag	2
36	AssFullaCum	2
36	Kferno	2
65	fingerguns__	1
65	Groovy_MoonBird	1
65	dabloons	1
65	soundad	1
65	FroggoTheDoggo	1
65	EllaBellaChu	1
65	Sleek_Storm_721	1
65	rachcl	1
65	ImpavidArcher	1
65	SaucyDark	1
65	youhjjhhhjj	1
65	musaad_	1
65	SyntheticSurgeon	1
65	Alteriity	1
65	lotarp	1
65	Myszoaz	1
65	fr0stss	1
65	gaziter10	1
65	Swexti	1
65	luckymage	1
65	Vizzoid	1
65	Prodiginus	1
65	TheSecondLord	1
65	ABUSNA1996	1
65	Ardennes	1
65	ProfessorBee	1
65	GingerNeutron	1
65	Lumien_	1
65	Fullut	1
65	Smashic	1
65	sandmire	1
65	mwrty	1
65	2Stout	1
65	noam464	1
65	platinumzero	1
65	taiga_links	1
65	TheDankPlatypus	1
65	SHAOBADMAN	1
65	MethylRadical	1
65	Windo_licker	1
65	Jackattack53	1
65	whoaluv	1
65	thewindmillman	1
65	impossibleteapot	1
65	kars0n	1
65	Troyharder	1
65	Moofyman	1
65	_Cloverbelle_	1
65	BRRRN179	1
65	LuceImaginary	1
65	Big_Nate_36	1
65	Luminad3	1
65	Blarfo	1
65	Leyna3	1
65	Nicky19	1
65	fw3xywashere	1
65	AlphaWolfPlaysMC	1
65	NomadicRobin_	1
65	Gryglu583	1
65	sufjanlover	1
65	YungWali	1
65	_Karmaa	1
65	E775	1
65	MustaLoordi	1
65	censorsheep	1
65	Spacewardharpy7	1
65	LetsDoItLive	1
65	Cocoamallows	1
65	Optiprimus	1
65	CSG_Haru	1
65	Eraxa	1
65	pixelviolin	1
65	Kowcio_	1
65	stahouo	1
65	lcvezra	1
65	Poppy235	1
65	PortlyPete69	1
65	alderban107	1
65	smogfrog	1
65	FelixPSY375	1
65	Enderslayerxz3	1
65	Powowowow	1
65	2blox	1
65	PlasticOtari	1
65	Teebone15	1
65	00000000-0000-0000-0009-01f73aa9620f	1
