rank	username	minecraft:used/minecraft:wheat_seeds
1	thewindmillman	78636
2	SpacesickPrism	39440
3	Mr_Byzantine	24233
4	TheShyPig	23758
5	Legendosh	22511
6	excelsionprime	18339
7	Snowflowe	17873
8	LeauVox4921	17728
9	Di_infiri	16692
10	Lez_	16318
11	HellsSponge	15192
12	Blackberry1310	12789
13	StinkyDiplomat	12528
14	oscminus	12194
15	Pumpkin_P_Patch	12058
16	claivin	11672
17	Hyp3rion_	11546
18	Enderxz3	11416
19	Yamdalorian	11316
20	kekhon	11146
21	Flex_Tape_Phil	10976
22	himak1	9921
23	TechnoNinja64	9648
24	Njensen7	9477
25	Niklas20114552	8620
26	Groovy_MoonBird	8552
27	luseis	8409
28	pintsizedrogue	8192
29	Luigipunch989	8128
30	Mahoose	8054
31	Prodiginus	7793
32	Manaateee	7740
33	kkatsuragi	7221
34	Dakar_	7220
35	bloodbiter	6829
36	joethahobo	6359
37	Lord_Jord	6287
38	j5ylim	6266
39	EMC_	6262
40	El_Jalapeno	6127
41	RatatJuice	6113
42	NatalieTW	5927
43	RyuNeko932000	5809
44	Akoot_	5795
45	Merv__	5652
46	beeperbeeper5	5594
47	Nicserso	5473
48	lordpipe	5234
49	RoskobiOne	5219
50	Dreamdbr14	5135
51	heckface	5074
52	Blaiku	4771
53	6king6colt6	4666
54	djancak	4640
55	Comma__	4566
56	taengoos	4545
57	LeeMcGee30	4496
58	KarlKaek	4402
59	Racengan	4398
60	Rumpletaezer	4389
61	Jimb0nat0r	4340
62	calamariclam_I	4331
63	Huwulling	4249
64	BumbleBeever	4219
65	TheWickedBird	4204
66	Werbe	4176
67	_TCARREIRA_	4145
68	U_Mos_	4098
69	HesDemonPants	4053
70	xxPipperDipperxx	3999
71	hcb238	3997
72	QuiCreans	3954
73	Froste131	3933
74	WyngGoy	3784
75	Soplight	3782
76	UncreativeArtist	3700
77	livingdaydreams	3680
78	Lord_Zacler	3601
79	The11thDoctor	3600
80	ApophisNova	3590
80	MyNamaSheff	3590
82	PazinGaming	3588
83	Kakolbus	3560
84	Onennon	3537
85	Kowcio_	3513
86	zToasty69z	3478
87	m_be9	3239
88	Voxin2K	3210
89	Kim_Jong_eel	3200
90	TheSecondLord	3162
91	k_ce	3132
92	MyNameIsJobo	3119
93	ZeroAbyssTTV	3050
94	Majonezzon	3041
95	hermmm_	3039
96	mihimihimihi	3023
97	EveryonesUncle	3020
98	Moofyman	3014
99	Bandito_Roamer	3012
99	fade_emerge78823	3012
101	Jackattack53	2885
102	Xclax101	2880
103	picardred	2837
104	4774	2808
105	SaucyDark	2789
106	Houstonion	2768
106	wobn	2768
108	FGamerJ	2753
109	Frozil20	2723
110	EKUG	2684
111	Kateesaur	2680
112	SvenskaHugo	2660
113	JungeSchnauzer	2645
114	UrbanPlanningEx	2616
115	IamCL4SSY	2605
116	RadarHz	2575
117	TooManyDuck	2548
118	Jovaphobic	2520
119	thescout7	2507
120	ooga47	2488
121	burbankbuilder28	2476
122	FreakGenius	2472
123	Fullut	2445
124	Bumpy419	2437
125	500am	2432
126	Awyrlas	2419
127	Zaridey	2374
128	AdvertisingMerc	2368
129	Saucepeh	2363
130	jacxhadow	2332
131	Soap_Bender	2330
132	Razzgriz	2286
133	Blu3beast	2274
134	2extreeme	2250
135	shineh10	2205
136	Skippeh	2177
137	Felenov	2162
138	Ryker	2149
139	Gregward_Smith	2109
140	abdomera	2102
140	set67	2102
140	fluddd	2102
143	Kamflame	2091
144	HeraclesOGU	2090
145	LilyNova	2048
146	SuperPooch06	2024
147	yulgur1	2023
148	OG_Songsee	2016
149	Russiancat1	2014
150	diggydog67	2009
151	EngagedGrub41	2003
152	Arceus1975	1988
153	Tolhart	1969
154	Sleepy_Time_	1946
155	Xalithia	1930
156	PlasticOtari	1914
157	Groundler	1909
158	i2f8x4h8ro	1908
159	Ezekson	1896
160	Smashic	1892
161	TheThomas69	1883
162	EcksD	1865
163	ProfessorBee	1839
164	NomadicRobin_	1799
165	skitzxo	1789
166	Airem_Core	1777
167	Alteriity	1759
167	bruh072	1759
169	Hannah_Banana_69	1718
170	RebelAndroid	1713
170	starbits140	1713
172	_Karmaa	1705
173	Inbefour	1690
174	Ryan_GEMS	1661
175	NormanFetus	1658
176	ReflexCode	1657
177	Karbl	1655
178	ActualPatbaf	1653
178	rarrq	1653
180	Chromary	1615
181	tsitrawhy	1604
182	PortlyPete69	1596
183	Harotio	1594
184	noam464	1583
185	LordSpeed37	1577
186	Malorn_Aetherius	1576
186	miramyu	1576
188	KingFaenor	1567
189	Quaintster	1552
190	Wolverine4302	1551
191	smogfrog	1527
192	AngalexikCZ	1517
193	Avocadogerms	1512
193	Gus2005	1512
195	301851	1500
196	audiocracked	1497
197	Kryktal	1496
198	Shogunite	1474
199	CharlieButt	1472
200	Thunder_bird4337	1468
201	SlayerCrypto	1464
202	ReSynced	1463
203	q_wq	1446
204	Killercatty78	1438
205	Hyugo	1426
206	Fakiuss	1423
206	Joestra	1423
208	TheDankPlatypus	1408
209	12Magner05	1397
210	jaimshae	1383
211	wezzzi	1379
212	Barlycorn	1365
213	420BreadLizard	1364
214	sufjanlover	1317
215	Cowison	1314
216	CrookedKaptain	1285
217	_Cloverbelle_	1273
218	Warlord324	1266
219	soundad	1262
220	groofles	1254
221	AstreaTSS	1238
222	Ravenbie	1222
223	TheKingK_	1217
224	__tomato	1213
225	DepressedCubic	1212
226	SOA1RR	1206
227	Presisor	1202
228	Vizzoid	1199
229	ImDisconnected_	1190
230	gilesmcriles	1189
230	Powowowow	1189
232	MustaLoordi	1183
233	Juansinmiedo18	1180
234	KlausVonStiglitz	1168
235	XxCookiequeenxX	1160
236	Lepthymo	1154
237	sp00ky_ghost977	1151
238	SPUDonSTEROIDS	1147
239	rachcl	1143
240	Kubelz	1138
241	M_Patata	1137
242	MasterNueve	1135
243	eviltunix	1130
244	Auranymph	1126
245	BreadBacon	1122
246	mariominejedi	1121
247	MonitorLizards	1116
248	Reneedium	1115
249	Deerfoot	1098
250	SammiWolfGirl	1094
251	Louiis123	1093
252	seramalen	1085
253	dendydoom	1079
254	valiSW	1075
255	Moetis	1066
256	MAns_44	1060
257	natajimi	1054
258	GingerNeutron	1051
259	monky_irl	1043
260	DennyKai	1040
261	ProfessorDiaper	1034
262	Jordan_R	1031
263	laron58	1030
