rank	username	minecraft:used/minecraft:end_stone_bricks
1	12Magner05	19301
2	Ezekson	19214
3	Yamdalorian	8672
4	MilleGrug	8225
5	NomadicRobin_	5791
6	mwrty	5416
7	r123moore	3423
8	m_be9	3046
9	Blu3beast	2900
10	PigDab	2397
11	doublemaki	2341
12	beeperbeeper5	1761
13	avalan64	1664
14	oscminus	1641
15	claivin	1640
16	El_Jalapeno	1575
17	Spacewardharpy7	1273
18	diamondgolem35	1208
19	mihimihimihi	1178
20	WET_WET_WET	1155
21	Nicserso	1034
22	Mahoose	940
23	SpartanNamor	934
23	brofrickcheaters	934
25	Myszoaz	884
26	TheShyPig	849
27	bigstankyy	685
28	500am	607
29	Racengan	594
30	Mr_Byzantine	549
31	TheDankPlatypus	478
32	Kowcio_	464
33	ImpavidArcher	449
34	Ender_Souls	433
35	Fullut	405
36	Noah_Bez	404
37	noam464	402
38	robertsnose	367
39	SuperPooch06	354
40	xzvu	324
41	TheEnderMan548	306
42	MightyWertu	256
43	elicobnoah	252
44	Elastiq	249
45	MinttyFressh	233
46	11Brewer	228
47	surfinggiraffejp	227
48	thewindmillman	225
49	6king6colt6	205
50	ShedJr_	198
51	Steelynan	193
52	diggydog67	189
53	fffMike	173
54	AlexxO_o	171
55	ProbsNotNova	164
56	Mewar	156
56	eiC_	156
58	Shogunite	154
59	Alteriity	136
60	Merv__	135
61	FreakGenius	134
61	hermmm_	134
63	Legendosh	132
64	00000000-0000-0000-0009-01ff0c3e5e4f	129
65	set67	128
66	Onennon	125
66	miramyu	125
66	chiakirice	125
69	Groundler	124
70	yulgur1	117
71	RoboTramp7865	108
72	txxskx	106
73	Blaiku	101
74	NameGenerat0r	97
75	Enderxz3	96
76	Iagoku	94
77	thescout7	93
78	masskedman	92
79	burbankbuilder28	91
80	Blackberry1310	87
81	parodypatient	80
82	pintsizedrogue	74
83	Hisiste	73
84	bl1ss0	72
84	MyNameIsJobo	72
86	IamCL4SSY	70
87	iSammael	69
88	eitanzaki	66
88	lizardfightclub	66
88	MovingFish7	66
88	Dogcorn69420	66
92	Touched_Bread	64
93	MattieHD	62
94	Hpdinosaur	60
95	okCrypto	59
96	PhantomsGhost_	55
97	F_Uhre	53
98	laron58	51
99	shineh10	50
99	Jackattack53	50
101	royal_2	48
101	ROY4LE	48
103	Rasmanden	46
103	33sudo	46
105	yheece	45
106	jcool7	41
107	ConnorDanky_	40
108	AuroraValkyrie	39
108	Historical_Sand	39
110	TheSecondLord	38
110	Druid95	38
110	Winston_Ingram	38
110	jnp_gaming	38
114	AuroraSkies	35
114	Xclax101	35
116	PlasticOtari	34
117	Arceus1975	30
118	Jimb0nat0r	29
119	_TCARREIRA_	27
120	wx4z	26
120	Eczbek	26
122	ECstardust	24
123	Inbefour	23
123	TwinTowerV2	23
125	dabloons	22
125	Donutt	22
125	Skippeh	22
128	Rumpletaezer	21
128	lordpipe	21
130	SwooshBoi	19
130	LazySupport00	19
132	joethahobo	18
132	_flud	18
132	EcksD	18
135	goldyx	17
135	HellsSponge	17
135	ItsJWolff	17
135	HesDemonPants	17
139	Zythose	16
139	Bumpy419	16
139	djancak	16
142	lpinfinity	15
142	ElectricDragon81	15
144	T045RTY	14
145	Frozil20	13
145	rarrq	13
147	jushykins	12
147	Gab4101	12
147	OG_Songsee	12
147	Segotep999	12
151	Comma__	11
151	Secret_Canary	11
151	poopybh	11
151	Werbe	11
151	Buuck_	11
151	DairyNickel756	11
157	Apollo_993	10
157	Incinere	10
157	emreknugrlu	10
157	501g	10
157	SkateboardR6	10
157	FiguraDei	10
163	EMC_	9
163	HUNTERmaun	9
163	Zaridey	9
163	mariominejedi	9
163	Di_infiri	9
163	Maenara	9
163	hoaimi	9
170	Lepthymo	8
170	Literally_Rat	8
170	Avrelion	8
170	tartanboy	8
174	Ryan_GEMS	7
174	ActualPatbaf	7
174	Huwulling	7
174	Awyrlas	7
174	Charmyboi	7
174	OreTheBear	7
174	_Karmaa	7
174	Razzgriz	7
182	tuckerdoodle	6
182	ZaneABrain	6
182	kekhon	6
182	__TheNorseMan__	6
182	Covalents	6
182	John6970	6
182	legal_tax_evader	6
182	Hyp3rion_	6
190	Napoleonpancake	5
190	Whiterooster001	5
190	Rich_Kat	5
190	catandmoose	5
190	blackeemperor	5
190	SingedBread	5
190	_k2x	5
190	toos1esl1de	5
198	q_wq	4
198	BodaciousCake	4
198	zorin123	4
198	Cellcorgi649	4
198	xxPipperDipperxx	4
198	zToasty69z	4
198	Akoot_	4
198	MangoSalad316	4
198	LeEricc	4
207	H0UNDFRMH3LL	3
207	Poliitikko	3
207	_Razaria	3
207	JuuustYeet	3
207	SteveCraftBlocks	3
207	excelsionprime	3
207	Inchef	3
207	M_Patata	3
207	Ecplosive	3
207	ApophisNova	3
207	albus0x	3
207	Karbl	3
207	_MeowMix	3
207	MasterNueve	3
207	MustardSquid	3
207	FadedSpade82	3
207	MyNamaSheff	3
207	es0th	3
207	h2p_emrld	3
226	Bandito_Roamer	2
226	_Huge_Male_	2
226	teslawolf38	2
226	hm947	2
226	TooManyDuck	2
226	wickedword	2
226	SpaceGrenadier	2
226	Megarboh	2
226	Smashic	2
226	himak1	2
226	Aavermu	2
226	hanaryheatwave	2
226	pappaberg	2
226	Cruncy_	2
226	epiksk8erduck	2
226	FishyBoy3811	2
226	Leyna3	2
226	GooseWithin	2
226	wezzzi	2
226	DTwenty	2
226	EveryonesUncle	2
226	fkGrim	2
226	Manaateee	2
226	Quaintster	2
226	QuesoCrusaderIII	2
226	teserox	2
226	Eraxa	2
226	__tomato	2
226	Spenduh	2
226	Fizznut909	2
226	xof_on_microwave	2
226	Sheldor097	2
226	Quotary	2
226	UrbanPlanningEx	2
226	TechnoNinja64	2
226	Sral7	2
226	LuvLuvLove	2
226	FishisTTV	2
264	Groovy_MoonBird	1
264	CLG_Kata	1
264	RebelAndroid	1
264	livingdaydreams	1
264	SyntheticSurgeon	1
264	_Nuf	1
264	Motsaro	1
264	ooga47	1
264	fw3xy	1
264	bpmm	1
264	EdGalbraith	1
264	luseis	1
264	Tyrannosplart	1
264	DemTechAlpha	1
264	Fuad_R	1
264	BumbleBeever	1
264	TheDumbHuman	1
264	CornOnTheCobalt	1
264	pixelviolin	1
264	TheOnlyRake	1
264	Weepingbiel	1
264	Powowowow	1
