rank	username	minecraft:used/minecraft:brick_stairs
1	Legendosh	4066
2	Di_infiri	3200
3	MinttyFressh	2359
4	Steelynan	1858
5	Frozil12	1614
6	RodSerlingCringe	1377
7	burbankbuilder28	1324
8	SingedBread	1009
9	EcksDofficial	871
10	_stets	787
11	Merv__	766
12	Soplight	651
13	Enderslayerxz3	444
14	EveryonesUncle	407
15	Werbe	394
16	paranoid_plant	343
17	Deathkob	335
18	m_be9	326
19	Kakolbus	320
20	NotMeanttoChange	312
21	beeperbeeper5	311
22	Shin69	298
23	Dedalus36	292
24	TheShyPig	268
25	Spacewardharpy7	255
26	ImpavidArcher	241
27	2Stout	226
28	Mahoose	204
29	__tomato	203
30	MyNameIsDakar	188
30	Shogunite	188
32	DemTechAlpha	186
33	NomadicRobin_	178
34	_Bguette_	177
35	Spaghettatron	175
36	Akoot_	164
37	joethahobo	156
38	cowgirlkasia	152
39	stahouo	142
40	Quotary	137
41	kekhon	135
42	TheSecondLord	111
43	El_Jalapeno	108
44	Onennon	101
45	lcvezra	99
46	Freeman666	86
47	Diavri	84
47	SkateboardR6	84
49	Russiancat1	82
50	fkGrim	79
51	DTwenty	78
52	Deerfoot	72
53	Nicserso	71
54	thewindmillman	70
55	rarrq	57
56	xxPipperDipperxx	54
57	Mr_Byzantine	53
58	Ezekson	51
59	Inchef	47
60	Genghis_khan	46
61	Jiminbub	42
62	KarlKaek	40
63	500am	39
63	NameGenerat0r	39
65	Jordan_R	34
66	ShedJr_	33
67	Meatlaugh	32
68	_3Stump_	29
69	censorsheep	28
70	Historical_Sand	26
70	Skylord_Luke	26
70	RobotMinion101	26
73	ReyTheLegend	25
74	DarkS0L	24
75	TechnoNinja64	23
76	Roikdean	21
77	shdesolt	19
77	Doom_melon	19
77	Groundler	19
77	EcksD	19
81	SaucyDark	18
81	titanlax	18
81	_naturell	18
81	Wowful	18
85	Awyrlas	17
86	ABUSNA1996	16
86	Zythose	16
88	NNikitas	15
88	Nekomin0	15
90	BilboBaggins23	14
90	Jackattack53	14
90	Barlycorn	14
93	SpaceGrenadier	13
93	Freak_Genius	13
95	bloomkieren	12
95	oxfordschool	12
97	_NieToksikpl_	10
98	AgressiveEggdog	9
98	eitanzaki	9
98	MyNameIsJobo	9
98	Jiminie	9
102	DarlaMeow	8
102	cum_chalice	8
104	Sleek_Storm_721	6
104	peach0s	6
104	Stynxy	6
104	Blackberry1310	6
104	LotusProject	6
109	Myszoaz	5
110	JohnnyFyes	4
110	teslawolf38	4
110	PegLegPete93	4
110	ROY4LE	4
110	CalebDHawk	4
115	noam464	3
115	DeGodz4life	3
115	kyouma777	3
118	SteveCraftBlocks	2
119	PhantomsGhost_	1
119	RebelAndroid	1
119	Chromary	1
119	Deodorante	1
119	chipklip	1
119	The_slideV3	1
119	lordpipe	1
119	MakeHistory157	1
119	Kowcio_	1
119	UCP_TheKingK	1
119	GlitchyPlate810	1
