rank	username	minecraft:used/minecraft:minecart
1	noam464	2197
2	eitanzaki	1175
3	HellsSponge	1080
4	pintsizedrogue	843
5	thescout7	712
6	Spacewardharpy7	708
7	thewindmillman	670
8	Jackattack53	652
9	Smoke____	637
10	Mahoose	601
11	Di_infiri	590
12	PigDab	535
13	joethahobo	486
14	PlasticOtari	404
15	WyngGoy	402
16	EcksD	393
17	beeperbeeper5	369
18	Hyp3rion_	365
19	luseis	286
20	YungMaki	251
21	Blaiku	233
22	Lord_Jord	219
23	pixelviolin	215
24	jacxhadow	208
25	ShedJr_	207
26	_Virify_	198
27	Werbe	195
28	Arceus1975	190
29	FreakGenius	186
30	MightyWertu	178
31	Groundler	175
32	claivin	172
33	Blu3beast	166
34	Soplight	165
35	Snowflowe	156
36	Franco093	153
37	Ezekson	149
38	T045RTY	136
39	Nycteus_	133
39	Dusk_95	133
41	2bolx_	131
42	Historical_Sand	117
42	ProfessorBee	117
42	PortlyPete69	117
45	EngagedGrub41	115
46	ayamefag	113
47	MattieHD	112
47	Jimi7hits	112
49	Comma__	109
50	FishyBoy3811	105
51	SteveCraftBlocks	101
51	gcaisawesome	101
53	EMC_	100
54	ConnorDanky_	97
55	Kakolbus	96
55	jnp_gaming	96
57	TheShyPig	95
58	FreddyFart	91
59	gusstationwerker	90
60	BumbleBeever	87
60	fffMike	87
60	Hermanni__	87
60	Jordan_R	87
64	Akoot_	86
65	obzii	85
66	xxPipperDipperxx	82
66	mariominejedi	82
66	Bumpy419	82
66	audiocracked	82
66	DanTheBuilderino	82
71	El_Jalapeno	80
71	Racengan	80
73	TechnoNinja64	77
74	JESS_THE_RERE	74
75	6king6colt6	71
75	Blackberry1310	71
77	OfficerAnvil	69
78	Frozil20	67
78	Chromary	67
80	Nicky_H225	63
80	Skylord_Luke	63
82	rarrq	62
82	FelixPSY375	62
84	gilesmcriles	59
85	Mr_Byzantine	58
85	Mythic1130	58
85	KingMatthew506	58
88	SkateboardR6	57
89	q_wq	56
89	Esme_1	56
89	MakeHistory157	56
92	diamondgolem35	55
92	DemTechAlpha	55
94	Rumpletaezer	54
94	07shiny	54
96	set67	53
97	_Nuf	51
98	EveryonesUncle	50
98	Sral7	50
100	_Dean_123	49
101	Wooptey	48
101	Quotary	48
103	groofles	47
103	MilleGrug	47
103	anbbang	47
103	Enderxz3	47
107	StinkyDiplomat	45
108	Eraxa	43
109	Legendosh	42
110	12Magner05	41
110	masskedman	41
110	stavgod	41
113	MyNameIsJobo	40
113	Kim_Jong_eel	40
113	Typadopoulos	40
113	SpaceTurtleOX	40
117	livingdaydreams	39
117	bloodbiter	39
117	Xclax101	39
117	xolstoi	39
121	Ryker	38
121	TheSecondLord	38
121	Fuad_R	38
124	Moofyman	37
124	MAns_44	37
124	mihimihimihi	37
124	ItsDeltaMC	37
124	mawileite	37
129	dimondking777	36
129	ivorico	36
129	UncreativeArtist	36
132	benediktine1	35
133	TheSeismicDuck	34
134	Bandito_Roamer	33
134	Kkanot	33
136	M_Patata	32
136	zToasty69z	32
136	censorsheep	32
136	Kowcio_	32
140	Jovaphobic	31
140	Frxnkz	31
140	2Stout	31
143	RustyKedel	30
143	sufjanlover	30
143	lordpipe	30
143	IAmTheWalrus910	30
147	ImpavidArcher	29
147	TheThomas69	29
147	Smashic	29
147	Kubelz	29
147	Njensen7	29
147	Steelynan	29
153	Bolete	28
153	gabriels543	28
153	Darkgon	28
153	EfficientC52	28
153	Hisiste	28
158	RebelAndroid	27
158	Rasmanden	27
158	Powowowow	27
161	SyntheticSurgeon	26
161	F_Uhre	26
161	The_slideV3	26
161	lcvezra	26
161	TheOuterCore	26
166	_themselves	25
166	CliffEmAll	25
166	kekhon	25
166	Fullut	25
166	mwrty	25
166	DAD_1996	25
172	pZygh0st	24
172	chimpmunker	24
172	BlancoFlaco	24
172	Smussa	24
172	ClemenPine	24
172	SvenskaHugo	24
178	RoskobiOne	23
178	ThiccExotic	23
178	theonlymagikarp	23
178	HesDemonPants	23
182	H72l9w	22
182	SuperPooch06	22
182	Deathkob	22
185	SaucyDark	21
185	FirsTimeGamingTV	21
185	Hiryu27	21
185	Quincannon	21
189	mimbo1211	20
189	whoaluv	20
189	CaptainDeadBread	20
189	Gryglu583	20
189	Tyrannosplart	20
189	MustaLoordi	20
195	bigstankyy	19
195	NotMeanttoChange	19
195	SellyZ	19
195	prizm_	19
195	binman420	19
195	Moetis	19
195	CalebDHawk	19
202	PhantomsGhost_	18
202	Merv__	18
202	Huwulling	18
202	Luminad3	18
202	Warlord324	18
202	UCP_TheKingK	18
202	bladeefan2009	18
209	youhjjhhhjj	17
209	noodlepack	17
209	Mookle96	17
209	Hoid_the_Roamer	17
209	GrildChezSanwich	17
214	AngalexikCZ	16
214	Marbz_	16
214	legal_tax_evader	16
214	RobotMinion101	16
214	wwwwinnebagoooo	16
214	jcool7	16
220	BobDeBouwer1337	15
220	eiC_	15
220	YahooScreen9000	15
220	Cyntrical	15
220	Kyrum2169	15
220	Chuglyfe	15
220	00000000-0000-0000-0009-01f073f37a91	15
227	I_Am_Mushkin	14
227	slkiey	14
227	Delta_Balaur	14
227	Ecplosive	14
227	Skomo	14
227	yulgur1	14
227	Shogunite	14
227	Kubeusz2010	14
235	Groovy_MoonBird	13
235	Tolhart	13
235	Onennon	13
235	Drewen24	13
235	Skippeh	13
240	valiSW	12
240	IamCL4SSY	12
240	GravitySaint	12
240	Shin69	12
240	__tomato	12
240	imaginek1d	12
246	Froste131	11
246	Scathra	11
246	Hanselhoof	11
246	Inchef	11
246	0nly_sn1per	11
246	ElderRifken	11
246	SUN_DREAM	11
246	OG_Songsee	11
246	sp00ky_ghost977	11
246	ediballbearings	11
246	amkold	11
246	MirielThePastor	11
258	MunkaKris	10
258	elicobnoah	10
258	KarlKaek	10
258	HollieDaNugget	10
258	CoffeeNoir	10
258	Prismyst	10
258	andy_rex	10
258	ApophisNova	10
258	Wowful	10
258	MinuteMira	10
258	Razzgriz	10
258	non089	10
258	Sheldor097	10
258	MyNamaSheff	10
258	The_SlideV5	10
273	SmashingPump	9
273	Hyugo	9
273	gren_ben	9
273	Kirrow	9
273	m_be9	9
273	Hoxy	9
273	Nyxiom_	9
273	djancak	9
281	CueMix	8
281	Iagoku	8
281	Jackster03	8
281	ITDV	8
281	InfernalMound	8
281	jushykins	8
281	Awyrlas	8
281	Xalithia	8
281	XboxPanda	8
281	_Boipl_	8
281	Rebytre	8
281	HyperCave	8
281	ZA07	8
281	Hail_the_wombat	8
281	Inbefour	8
281	NameGenerat0r	8
281	kyouma777	8
281	PncakeUniverse	8
299	Louiis123	7
299	Ev0luti0nz	7
