rank	username	minecraft:used/minecraft:dried_kelp_block
1	EveryonesUncle	735
2	Smoke____	715
3	TheShyPig	600
4	MightyWertu	268
5	kinas45y5	240
6	PlasticOtari	217
7	AuroraValkyrie	181
8	LetsDoItLive	165
9	Paleshield	150
10	sebastiensaborio	121
11	Optiprimus	107
12	xxPipperDipperxx	102
13	Legendosh	95
14	Miko_Fullbuster	72
15	stellarjay	69
16	500am	54
17	Digcove	52
18	YungMaki	44
19	Freak_Genius	39
20	ImpavidArcher	37
21	himak1	28
21	The_slideV3	28
23	Powowowow	23
24	ROY4LE	20
24	gabriels543	20
26	fkGrim	18
27	Blackberry1310	17
27	Werbe	17
27	AssEatrAndLicker	17
27	Nicserso	17
31	Snowflowe	15
31	TechnoNinja64	15
33	Nicky19	13
34	iTurbo	12
35	Fuhrer_Teemo	10
35	chipklip	10
37	thescout7	9
37	Ezekson	9
39	Merv__	8
39	TheSecondLord	8
39	SuperPooch06	8
39	oxfordschool	8
43	Mahoose	7
44	PhantomsGhost_	6
44	monky_irl	6
46	Fullut	5
46	TheOnlyRake	5
48	CoffeeNoir	4
48	Tjhodskins19	4
48	wezzzi	4
48	KasterNM	4
48	Spacewardharpy7	4
48	robotemo	4
48	jcool7	4
55	Gundam_Steven	3
55	Hyp3rion_	3
55	Soplight	3
55	RadarHz	3
59	Groovy_MoonBird	2
59	SirUnderpants	2
59	ExtraDumb	2
59	eitanzaki	2
59	rarrq	2
59	heckface	2
59	sandmire	2
59	valiSW	2
59	Zythose	2
59	RobotMinion101	2
59	Jiminie	2
59	Shogunite	2
59	BumbleBeever	2
72	Dilshooter	1
72	Jovaphobic	1
72	teslawolf38	1
72	6king6colt6	1
72	Incinere	1
72	KomputerDude	1
72	_Minnty_	1
72	egglapras	1
72	Chroicocephalus	1
72	DSYisDizzy	1
72	Di_infiri	1
72	RealFPA	1
72	Maenara	1
72	LibertyMutual	1
72	apn999	1
72	Quincannon	1
72	Nycteus_	1
72	Blaiku	1
72	the__Reaper4999	1
72	IAmTheWalrus910	1
72	Nagasaki_Riku	1
72	IdeallyGrey	1
72	djancak	1
72	Western_1	1
72	Moetis	1
72	CalebDHawk	1
72	Hermanni__	1
72	Skippeh	1
72	EcksD	1
72	UrbanPlanner1978	1
