rank	username	minecraft:used/minecraft:gray_terracotta
1	YungMaki	20105
2	Rumpletaezer	13567
3	joethahobo	9353
4	thewindmillman	6334
5	kekhon	5157
6	EcksD	3426
7	titanlax	2481
8	oxfordschool	1282
9	Inbefour	1253
10	TheSecondLord	1203
11	DarlaMeow	632
12	Werbe	620
12	AssEatrAndLicker	620
14	Sral7	390
15	xxPipperDipperxx	254
16	ImpavidArcher	225
17	Zaridey	184
18	_Karmaa	149
19	Chromary	126
20	Kowcio_	78
21	NameGenerat0r	70
22	Frozil12	58
23	Mahoose	43
24	eitanzaki	28
25	Bandito_Roamer	26
26	Hyp3rion_	25
27	mwrty	19
28	beeperbeeper5	16
29	Blackberry1310	11
30	MonitorLizards	9
31	Dan_Scha	8
31	Deathkob	8
31	The_SlideV5	8
34	Syropatathe	7
35	2Stout	6
36	NinjaKnifeKill	4
36	500am	4
36	Karbl	4
36	Smoke____	4
40	Di_infiri	3
40	MilleGrug	3
42	Tommhh	2
42	OtariCharlie	2
44	gcaisawesome	1
44	noam464	1
44	burbankbuilder28	1
44	Hiryu27	1
44	Spacewardharpy7	1
44	Eraxa	1
44	pixelviolin	1
44	obzii	1
