rank	username	minecraft:used/minecraft:ominous_trial_key
1	oscminus	31
2	MyMawgDonaldsGon	17
3	net_flex	16
4	thewindmillman	12
4	Spaghettatron	12
6	TheKingK_	9
7	CLG_Kata	8
8	Secret_Canary	6
9	k_ce	5
9	Mr_Byzantine	5
11	lpinfinity	3
11	Buuck_	3
13	Steelynan	2
