rank	username	minecraft:used/minecraft:bamboo_block
1	Werbe	2166
2	Mattesco	1485
3	Hoid_the_Roamer	1283
4	Yamdalorian	1099
5	Buuck_	878
6	Enderxz3	559
7	Mr_Byzantine	359
8	Niklas20114552	299
9	Fullbit_	272
10	Lorcout	235
11	milltesco	234
12	nev_s	229
13	CacheOut	228
14	Mr_Sun15	219
15	robonya_	130
16	Bambuino	85
17	akap47	84
18	Synthoum	81
19	MattieHD	52
20	SpacesickPrism	43
21	k_ce	41
22	McCakeAh	40
22	Pumpkin_P_Patch	40
24	Dark_Crusader21	39
25	Napoleonpancake	38
26	Steelynan	36
27	Mr_Froxy	30
28	TheWickedBird	29
29	SteadyFeather77	26
30	TheSecondLord	21
31	Kowcio_	20
32	Manaateee	18
33	Penguinllama517	17
34	PazinGaming	14
34	Merv__	14
34	cyuar	14
37	Jimb0nat0r	13
38	beeperbeeper5	12
38	Hyp3rion_	12
40	pixelviolin	9
41	pintsizedrogue	8
41	EveryonesUncle	8
43	_witch_craft_	6
44	Hahaa_0	5
45	hanaryheatwave	4
45	MAns_44	4
47	j5ylim	3
47	Lazy_geniusig	3
47	InchoateOyster	3
50	MyMawgDonaldsGon	2
50	Jackattack53	2
50	BTL_craft	2
53	Caribouse	1
53	NutellaPenguinz	1
53	Lez_	1
53	_Duckery	1
53	emreknugrlu	1
53	cutelilreno	1
53	lordpipe	1
