rank	username	minecraft:used/minecraft:mossy_stone_brick_stairs
1	kekhon	319
2	TheShyPig	231
3	Comma__	209
4	Lutres_	191
5	luseis	181
6	Zythose	163
7	layabout100	158
8	Shogunite	100
9	Kowcio_	95
10	Manaateee	86
11	Eraxa	81
12	Akoot_	68
13	thescout7	64
14	ECstardust	57
15	TheSecondLord	56
15	killmeiamtraitor	56
17	SuperPooch06	50
18	cedric72	48
19	Maenara	45
20	HellsSponge	43
21	Skylord_Luke	41
22	Inchef	39
23	Tommhh	38
24	Marbz_	33
25	500am	30
26	_Huge_Male_	26
27	Blackberry1310	23
28	pintsizedrogue	22
29	beeperbeeper5	21
29	Onennon	21
29	AspenLightVT	21
29	Enderxz3	21
33	Eraza	20
34	Iamthejo	19
35	SquadMonster	17
35	thewindmillman	17
37	soundad	16
37	BilboBaggins23	16
37	Elastiq	16
37	Wowful	16
41	FreakGenius	15
42	Bandito_Roamer	14
42	Werbe	14
44	Merv__	13
44	ATrojansLegend	13
44	Fuhrer_Teemo	13
44	HELLO_I_AM_BEAR	13
48	Winklepicker279	12
48	MyNameIsJobo	12
50	Mr_Byzantine	10
50	RefluxRatio	10
50	Legendosh	10
53	MinuteMira	9
53	SpacesickPrism	9
55	Alteriity	8
55	Reneedium	8
55	TheKingK_	8
58	Creativebuilder2	7
58	Moofyman	7
58	wwwwinnebagoooo	7
61	burbankbuilder28	6
61	Quotary	6
63	Crowman1	5
63	kyouma777	5
65	Huwulling	4
65	Reamdin	4
65	MAns_44	4
65	Nicserso	4
69	Avocadogerms	3
69	pixelviolin	3
69	Soplight	3
72	PegLegPete93	2
72	PlasticOtari	2
74	chipklip	1
74	Houstonion	1
74	IgnoredBee	1
74	mariominejedi	1
74	Di_infiri	1
74	Blaiku	1
74	Spacewardharpy7	1
74	LetsDoItLive	1
74	Segotep999	1
74	CalebDHawk	1
74	Kubeusz2010	1
