rank	username	minecraft:used/minecraft:netherite_axe
1	EveryonesUncle	174302
2	Smoke____	140631
3	beeperbeeper5	119675
4	joethahobo	104644
5	Blackberry1310	98377
6	pintsizedrogue	79903
7	500am	75864
8	Ezekson	67507
9	PlasticOtari	57549
10	thewindmillman	51605
11	Mahoose	46655
12	Spacewardharpy7	44232
13	EMC_	34081
14	NomadicRobin_	28653
15	Winklepicker279	28570
16	PigDab	27814
17	Inchef	27685
18	Enderslayerxz3	25792
19	kekhon	24197
20	Blaiku	24163
21	noam464	23201
22	set67	22680
23	YungMaki	22463
24	CoffeeNoir	22429
25	RebelAndroid	20680
26	Zythose	18481
27	Freak_Genius	18412
28	ROY4LE	18236
29	HellsSponge	18221
30	Kowcio_	18132
31	Kakolbus	17651
32	rarrq	16416
33	Historical_Sand	15672
34	ApophisNova	14265
34	MyNamaSheff	14265
36	teslawolf38	13858
37	TheSecondLord	13688
38	Steelynan	13446
39	Lord_Jord	13305
40	Racengan	13001
41	pixelviolin	12766
42	MilleGrug	12691
43	Chromary	11942
44	tuckerdoodle	11796
45	12Magner05	11180
46	M_Patata	11160
47	Hyp3rion_	11012
48	Lutres_Torane	10644
49	Eraxa	10399
50	Rebytre	10091
51	Akoot_	10057
52	_Virify_	9824
53	BlancoFlaco	9210
54	HesDemonPants	9088
55	Eczbek	8782
56	EcksD	8529
57	MasterNueve	8454
58	Merv__	8437
59	Soplight	8265
60	CharlieButt	8075
61	Segotep999	7846
62	ImpavidArcher	7789
63	oxfordschool	7749
64	r123moore	7696
65	obzii	7586
66	q_wq	7054
67	ogoa	7003
68	YoshikageBites	6976
69	SkateboardR6	6927
70	CollinMH06	6888
71	eitanzaki	6621
72	anbbang	6430
73	Skylord_Luke	6319
74	Frozil12	6104
75	egglapras	5931
76	2blox	5869
77	burbankbuilder28	5492
78	ShedJr_	5377
79	lillips	5134
80	_NieToksikpl_	5021
81	_Karmaa	4644
82	fluddd	4603
83	Dedalus36	4586
84	benediktine1	4508
85	Cowison	4373
86	Nicky_H225	4099
87	Snowflowe	4049
88	Airem_Core	3930
89	diggydog67	3891
90	jacxhadow	3870
91	Quotary	3839
92	T045RTY	3583
93	paranoid_plant	3575
94	RoskobiOne	3527
95	Kubeusz2010	3467
96	LexMakesHistory	3361
97	bigstankyy	3209
98	Mr_Byzantine	3208
99	6king6colt6	3157
100	SvenskaHugo	3122
101	Deathkob	3118
102	FishyBoy3811	3026
103	BronkerBrum	3014
104	Steven1282598	3013
105	RadarHz	2933
106	Smashic	2929
107	Drlzyy	2754
108	lordpipe	2576
109	Awyrlas	2513
110	Megarboh	2476
111	MangoTheFish	2439
112	NinjaKnifeKill	2425
113	fffMike	2386
114	Wowful	2156
115	Di_infiri	2146
116	nataliecool	2097
117	bloodbiter	2087
118	Z3braYTIL	2070
119	Ze_BaronKrigler	2009
120	NoChumpChange	1980
121	Mattesco	1952
122	fw3xywashere	1944
123	masskedman	1928
124	mwrty	1863
125	SammiWolfGirl	1726
126	BobDeBouwer1337	1678
127	ToastedGamingYT	1666
128	KG1999	1603
129	Fullut	1502
130	Nycteus_	1490
131	PortlyPete69	1482
132	dimondking777	1412
133	Menthas	1403
134	diamondgolem35	1294
135	MSK__	1265
136	Luigipunch989	1249
137	Rocco_Lane	1220
138	Da_Boss_Rani	1168
139	alderban107	1048
140	Jonte0599	1040
141	Jovaphobic	1036
142	Freedrik	977
143	ZeroKraken	970
144	sp00ky_ghost977	951
145	Hpdinosaur	928
145	ItsDeltaMC	928
147	Ryker	923
148	The_Fulgurator	906
149	07shiny	864
150	kinas45y5	861
151	MeetTheWollo	856
152	Fuad_R	821
153	Myszoaz	799
153	TheOuterCore	799
155	MightyWertu	796
156	Sheldor097	777
157	livingdaydreams	776
158	Miko_Fullbuster	768
159	XboxPanda	704
160	Spenduh	689
161	djancak	642
162	MissCeleste7	630
163	Kkanot	606
164	HolyVenom	602
165	jiggywraps	572
166	Quaintster	566
167	Hiryu27	562
168	TAKrules	499
169	SoftSix	482
170	NameGenerat0r	476
171	DeGodz4life	467
172	TheDankPlatypus	451
173	Jackattack53	416
174	LAVA129	410
175	soundad	396
176	Xalithia	345
177	Hail_the_wombat	341
178	Myhym	310
179	KnightmareD	307
180	SlinkyPinky	305
181	fred870d	296
182	Jordan_R	283
183	Syropatathe	281
183	jnp_gaming	281
185	Werbe	255
186	TheTommyGun63	246
187	censorsheep	245
188	ProfessorDiaper	244
189	error10101	236
190	AuroraValkyrie	233
191	AltnumberF4	221
192	501g	217
193	Alteriity	212
194	Skippeh	209
195	King_Pancake1	192
196	Sleek_Storm_721	186
197	sammidk	182
198	SvenskaAlvar	180
199	UncreativeArtist	178
200	Groovy_MoonBird	173
201	whoaluv	127
202	Afinnity	125
203	the__Reaper4999	103
204	Marbz_	97
205	stahouo	88
206	SpaceGrenadier	87
207	PhantomsGhost_	73
208	RoBe__	71
209	Mobstr	68
210	KeruNatsema	65
211	Incinere	62
212	Blu3beast	61
213	JohnnyFyes	53
214	vadar12	22
215	WyngGoy	19
216	CliffEmAll	18
217	FelixPSY375	16
218	SteveWithClout	9
218	TheTrueClipse	9
220	Chickenchaser2	5
221	StanClubPenguin	3
221	MakeHistory157	3
223	xxPipperDipperxx	2
223	SuperPooch06	2
223	Deodorante	2
226	Not_Insom	1
