rank	username	minecraft:used/minecraft:diorite_stairs
1	rarrq	589
2	Meatlaugh	450
3	Freak_Genius	285
4	Mahoose	270
5	Legendosh	260
6	EMC_	252
7	Stiar	238
8	Frozil12	158
9	TheShyPig	155
10	Jokerman369	116
11	benediktine1	76
12	noam464	75
13	KarlKaek	62
14	Lord_Jord	61
15	MrExplorer	59
16	eviltunix	57
17	Xalithia	56
17	purpolepickle	56
19	trexgb	49
20	Studyhallsaver	44
20	DemTechAlpha	44
22	eiC_	30
23	Sheldor097	28
24	Cryptacity	25
24	Werbe	25
24	AssEatrAndLicker	25
27	ElderRifken	24
27	EcksDofficial	24
29	GLLogan2	20
29	Inbefour	20
31	avalan64	19
32	MattieHD	17
32	PlasticOtari	17
34	sleepdrifter_	16
35	Maenara	15
36	tartanboy	14
37	SaucyDark	12
37	oreee	12
39	Soplight	11
39	WYFYoyo	11
41	tramizu	10
41	MyNameIsDakar	10
43	RodSerlingCringe	9
44	h2p_emrld	8
45	ApophisNova	6
45	Barlycorn	6
45	MyNamaSheff	6
48	Groovy_MoonBird	5
48	ImpavidArcher	5
48	lotarp	5
51	IWorkAtIkea	4
51	beeperbeeper5	4
51	SamZombie	4
51	Shogunite	4
55	kekhon	3
55	YungMaki	3
57	Natty	2
57	eclipseboi	2
57	orxngejuice	2
57	ooga47	2
57	stavgod	2
57	Eraxa	2
57	starbits140	2
57	Snow_Blizzard	2
57	kinas45y5	2
66	maxdacatv2	1
66	Mr_Byzantine	1
66	error10101	1
66	Ardennes	1
66	Fullut	1
66	ImDisconnected_	1
66	Di_infiri	1
66	fluddd	1
66	Racengan	1
66	Enderslayerxz3	1
66	diggydog67	1
