rank	username	minecraft:used/minecraft:stone_pickaxe
1	LordSpeed37	82080
2	SteveCraftBlocks	17927
3	AdmiralSmoke	13934
4	Iamthejo	13342
5	soundad	11225
6	brycepants	8371
7	BlankityMcBlank	7619
8	AJplaysMC_	7576
9	KlausVonStiglitz	7540
10	Winklepicker279	7316
11	SaintJosie	6973
12	Zythose	6805
13	Purplehere	6743
14	Powowowow	6430
15	Di_infiri	5896
16	ooga47	5661
17	Ghemmah	5567
18	Mahoose	5442
19	Warlord324	5354
20	xzvu	5333
21	Chaotic1s	4935
22	rotten_mango	4866
23	fxiryglitch	4461
24	Malware_Mara	4391
25	MinuteMira	4387
26	AstreaTSS	4330
27	TechnoNinja64	4295
28	ori0le	4176
29	Kryktal	3705
30	UncreativeArtist	3480
31	Touched_Bread	3441
32	FreakGenius	3431
33	Katsuragi0243218	3375
34	MC_Gamer_Geek	3324
35	ExtraDumb	3301
36	luseis	3285
37	JustAWill_	3275
38	Cambo5000	3197
39	2Stout	3133
40	Wolverine4302	3081
41	Chroikey	2974
42	Skyle169	2799
43	Ossem	2773
44	Kferno	2759
45	FennYuzuna	2705
46	weabis	2697
47	m_be9	2647
48	Shavrin	2626
49	jjettii	2624
50	Crasswolf	2617
51	Kymarmalade	2593
52	Ezekson	2576
53	El_Jalapeno	2561
54	_Panyu_	2515
54	Schlitzman	2515
56	ReflexCode	2502
57	ConnorDanky_	2484
58	BlueZabu	2481
59	TheShyPig	2473
60	Nach0Bear	2459
61	The_Skramz	2446
62	Windo_licker	2437
63	Toriankel	2431
64	satuern	2427
65	Apollo_993	2355
66	xxPipperDipperxx	2345
67	madderfall	2289
68	Akoot_	2275
69	419mmurphy	2266
70	SvenskaSara	2234
71	_Cloverbelle_	2185
72	tramizu	2113
73	SyntheticSurgeon	2105
74	Parcc	2074
75	xFaiithyX	2073
76	SHAOBADMAN	2071
77	jjsadler	2029
78	HellsSponge	2025
79	xX_Stalin69_Xx	1978
80	Darkgon	1964
81	Vorlice	1935
82	PlasticOtari	1928
83	RyuNeko932000	1908
84	NatrixxddxYT	1892
85	himak1	1890
86	cytotoxaint	1844
87	Mookle96	1842
88	Kubelz	1841
89	Skylord_Luke	1835
90	Lord_Jord	1834
91	BreadFruggis	1829
92	Moetis	1819
93	Blackberry1310	1771
94	tortillatitan	1706
94	Cattoh	1706
96	Western_1	1705
97	JayToe	1697
98	Slapface522	1647
99	LeonelSalamanca	1616
100	brickman241	1612
101	aldplaysmc	1587
102	QuiCreans	1582
103	Kynigito	1578
104	Mistruth	1569
105	Batoser	1562
106	SolicitedPuma101	1531
107	Creeper_ez	1524
108	EngagedGrub41	1523
109	RoboTramp7865	1501
110	shrimp_flips	1490
111	SaltineDream	1488
111	DASH_X7	1488
113	Matorz	1480
114	Covalents	1468
115	QueenShuvi	1463
116	SyK7	1446
117	epiksk8erduck	1442
117	Drewen24	1442
117	avalan64	1442
120	gcaisawesome	1441
121	FirsTimeGamingTV	1437
122	_Boipl_	1427
123	Cats_Fly	1411
124	kekhon	1389
125	Soul_Atreus	1379
126	BreadBacon	1375
127	cedric72	1374
128	FadedSpade82	1334
129	RedcatVII	1333
129	Legendosh	1333
131	beeperbeeper5	1325
132	Sagaram	1322
133	BigMoneyH	1319
134	starbits140	1317
135	DSYisDizzy	1315
136	Aatronix	1311
137	Gingayy	1310
138	fallingemma	1309
139	6king6colt6	1303
140	stopfive	1301
141	Icyyyyy	1298
142	Hisiste	1293
143	jnp_gaming	1292
144	Goat_Man512	1279
145	Mr_Byzantine	1276
146	Myrosia	1273
147	Frozil20	1263
148	Groovy_MoonBird	1259
149	E775	1256
150	privatemeekly	1223
151	NoChumpChange	1186
152	maaacaroni	1185
153	Lukeee33	1182
154	HazenBlazin	1180
155	Base_Tempest	1179
155	NinjaKnifeKill	1179
155	560cool	1179
158	Fullut	1177
159	Lumien_	1176
160	CrazyPotater	1174
161	RadarHz	1161
162	BlancoFlaco	1158
163	ehunt54	1106
164	n0qtrnL	1097
165	Froste131	1062
166	valiSW	1061
166	Goat_Curdle	1061
168	ElderRifken	1051
168	c0la_c0ca	1051
170	TakeThis2UrGrave	1049
170	MusicMe1005	1049
172	firesgal3116	1048
172	ZeroAbyssTTV	1048
172	Orcus113	1048
172	Forcolp	1048
172	OrangeJuiceBox	1048
172	momis24	1048
178	Betaz	1038
179	dendydoom	1037
180	DkansK	1020
181	Nekomin0	1007
182	Merv__	986
183	jpoxman	985
183	IWorkAtIkea	985
183	iElijah	985
186	ImpavidArcher	967
187	felincaus	964
188	Celeste_121	963
189	OkamiITA	955
190	legoclone09	951
191	blackmage426	949
192	Sheellky	948
193	Alteriity	942
194	Ryker	939
195	Thaumatarge	938
196	dopplexd	936
197	corvidpartyfor6	934
198	MoistEggo	932
199	Krimys	929
200	heckface	926
