rank	username	minecraft:used/minecraft:quartz_stairs
1	joethahobo	7226
2	Di_infiri	5676
3	Hyp3rion_	4081
4	Lord_Jord	3666
5	beeperbeeper5	3241
6	Groundler	3114
7	Frozil12	2289
8	Spacewardharpy7	1845
9	Merv__	1824
10	Rumpletaezer	1703
11	noam464	1526
12	Incinere	1376
13	lordpipe	1287
14	EveryonesUncle	1208
15	500am	1035
16	Blaiku	993
17	SuperPooch06	949
18	Legendosh	945
19	Sral7	750
20	EcksDofficial	748
21	m_be9	733
22	EcksD	730
23	titanlax	671
24	ImpavidArcher	669
24	himak1	669
26	eitanzaki	667
27	Soplight	662
28	rarrq	653
29	PlasticOtari	642
30	Mahoose	629
31	stahouo	551
32	Jackattack53	543
33	_Karmaa	533
34	Skippeh	525
35	kekhon	520
36	Groovy_MoonBird	446
37	Inbefour	431
38	Skylord_Luke	420
39	MakeHistory157	418
40	xxPipperDipperxx	411
41	Smoke____	402
42	ABUSNA1996	394
43	Shogunite	379
44	jnp_gaming	368
45	TheShyPig	365
46	nocturne78	364
47	RodSerlingCringe	362
48	I_Am_Mushkin	342
49	Freak_Genius	338
50	ssleepless	329
51	Wooptey	322
52	SammiWolfGirl	301
53	burbankbuilder28	297
54	Optiprimus	280
55	YungMaki	269
56	CoffeeNoir	265
57	Akoot_	255
58	HellsSponge	253
59	The_slideV3	252
60	Truckoss	242
61	KarlKaek	217
62	soundad	215
63	Nycteus_	213
64	Kouridragon	203
65	Comma__	193
66	r123moore	181
66	Winklepicker279	181
66	chipklip	181
69	ProfessorBee	179
70	FishyBoy3811	175
70	Blamphe	175
72	_Nuf	169
73	Xclax101	167
74	Blu3beast	166
75	claivin	162
76	__tomato	153
77	Ssor69	150
78	Ezekson	144
79	MightyWertu	138
80	ROY4LE	129
81	CliffEmAll	125
82	NinjaKnifeKill	120
83	Swexti	119
84	tobinwilliams	113
85	Eraxa	101
86	LexMakesHistory	100
87	Maenara	99
88	Fullut	98
88	Zythose	98
90	pintsizedrogue	97
91	Werbe	95
92	TheSecondLord	90
92	theonlymagikarp	90
94	NomadicRobin_	87
95	Spenduh	82
96	MyNameIsDakar	80
97	CharlieButt	77
98	dartwaffle	74
99	Arceus1975	73
100	Whiterooster001	72
100	Deathkob	72
102	Lutres_Torane	70
103	MovingFish7	65
104	fffMike	62
105	Barlycorn	58
106	Jackster03	57
107	Jovaphobic	51
108	set67	50
108	paranoid_plant	50
110	_NieToksikpl_	49
110	egglapras	49
112	MSK__	48
113	pixelviolin	46
114	teslawolf38	44
114	Onennon	44
116	FelixPSY375	43
117	Leyna3	41
118	Bazongoman	40
119	AuroraValkyrie	39
120	Sleek_Storm_721	35
120	SaucyDark	35
120	The_SlideV5	35
123	Inchef	33
124	PegLegPete93	32
125	Enderslayerxz3	29
126	ooga47	28
127	eclipseboi	26
127	Steelynan	26
129	Cowison	25
129	SlinkyPinky	25
129	MilleGrug	25
132	Reamdin	23
132	thescout7	23
132	NameGenerat0r	23
132	Nicserso	23
136	Avrelion	21
136	Jiminie	21
136	SexcMf	21
136	KG1999	21
140	AJplaysMC_	20
141	erkada	19
142	Xalithia	17
142	epiksk8erduck	17
142	audiocracked	17
145	AssFullaCum	16
146	Blackberry1310	15
146	NotMeanttoChange	15
148	ColeSnyder	14
149	emrekn	13
149	SSytex_X	13
149	Fizznut909	13
152	GLLogan2	12
152	eiC_	12
152	KlausVonStiglitz	12
152	oxfordschool	12
156	12Magner05	11
156	MyNameIsJobo	11
156	FreddyFart	11
156	Deerfoot	11
156	Razzgriz	11
161	Sheldor097	10
161	00000000-0000-0000-0009-01ff0c3e5e4f	10
163	jacxhadow	9
163	ClemenPine	9
163	MAns_44	9
166	bigstankyy	8
166	Ardennes	8
166	CrateOfBoxes	8
166	trexgb	8
170	ShedJr_	7
170	DemTechAlpha	7
170	SingedBread	7
170	KingMatthew506	7
170	AltnumberF4	7
175	JEWISHBadenBeele	6
175	ratglock	6
175	shdesolt	6
175	mwrty	6
175	_naturell	6
175	El_Jalapeno	6
181	Mr_Byzantine	5
181	Cortexia	5
181	DarlaMeow	5
184	6king6colt6	4
184	Lukeee33	4
184	HollieDaNugget	4
184	Doom_melon	4
184	regulator75	4
184	Factoroni	4
184	bloomkieren	4
184	Kyrum2169	4
184	jcool7	4
184	TechnoNinja64	4
184	JayToe	4
184	diggydog67	4
196	Snowflowe	3
196	KeruNatsema	3
196	Hermanni__	3
199	Hpdinosaur	2
199	T045RTY	2
199	Myszoaz	2
199	SteveCraftBlocks	2
199	Awyrlas	2
199	2Stout	2
199	Karetoko	2
199	RobotMinion101	2
199	Kokeech	2
199	fkGrim	2
199	_Bguette_	2
199	wobn	2
199	Quincannon	2
199	BumbleBeever	2
199	Hisiste	2
199	OG_Songsee	2
199	Nagasaki_Riku	2
199	Serval2000	2
199	kinas45y5	2
218	Ailmast	1
218	bloodbiter	1
218	pr33tu	1
218	_Dean_123	1
218	Scathra	1
218	gcaisawesome	1
218	SlayerCrypto	1
218	_Boipl_	1
218	fred870d	1
218	JustOneQuery	1
218	carpet4_69	1
218	TheTommyGun63	1
218	WyngGoy	1
218	obzii	1
218	Dogcorn69420	1
218	striker90333	1
218	VentiHilton	1
218	Miko_Fullbuster	1
