rank	username	minecraft:used/minecraft:mycelium
1	kekhon	5584
2	noam464	4324
3	thewindmillman	2164
4	eitanzaki	1879
5	FreakGenius	1604
6	jnp_gaming	956
7	Steelynan	882
8	gcaisawesome	862
9	diggydog67	576
10	Blaiku	464
11	Jackattack53	436
12	Werbe	397
13	m_be9	360
14	Di_infiri	359
15	Hyp3rion_	318
16	_Mythic____	257
17	Rumpletaezer	237
18	lordpipe	218
19	OverallConcept	214
20	ApophisNova	207
20	MyNamaSheff	207
22	MightyWertu	204
23	sxc_	197
24	nattybears	194
25	djancak	192
26	xxPipperDipperxx	156
27	pintsizedrogue	149
28	PigDab	102
29	hanaryheatwave	92
30	Eczbox	82
30	Eczbek	82
32	beeperbeeper5	77
33	Marbz_	76
34	Jovaphobic	65
34	KomputerDude	65
34	joethahobo	65
37	YungMaki	61
38	MinttyFressh	55
39	Sral7	53
40	Lord_Jord	47
41	500am	42
42	Manaateee	36
43	jcool7	34
44	soundad	31
45	CoffeeNoir	28
46	bloodbiter	24
47	Mahoose	23
47	ShedJr_	23
49	Onennon	22
50	TheSecondLord	21
50	gustarlep	21
52	MattieHD	16
52	sp00ky_ghost977	16
54	Xclax101	15
54	FishisTTV	15
56	Dreamdbr14	14
57	oscminus	13
57	claivin	13
59	Hoid_the_Roamer	11
59	Winston_Ingram	11
61	Kakolbus	8
62	Mattesco	7
63	HellsSponge	6
63	TechnoNinja64	6
65	tartanboy	5
66	diamondgolem35	4
66	Eraxa	4
66	Segotep999	4
69	_Nuf	3
69	SingedBread	3
71	Zippyzam	2
71	nocturne78	2
71	TheShyPig	2
71	skrongus	2
75	Bandito_Roamer	1
75	Hpdinosaur	1
75	Incinere	1
75	Alteriity	1
75	Alfred603	1
75	Notta	1
75	excelsionprime	1
75	crying_wolf_13	1
75	RobotMinion101	1
75	lillips	1
75	DarlaMeow	1
75	_Karmaa	1
75	Spacewardharpy7	1
75	ItsDeltaMC	1
75	EngagedGrub41	1
75	anbbang	1
75	Enderxz3	1
75	HesDemonPants	1
75	calamariclam_I	1
