rank	username	minecraft:used/minecraft:torch
266	RoyalDorrr	1672
267	epiksk8erduck	1656
267	pixelviolin	1656
269	Kryktal	1646
270	andy_rex	1645
271	UncreativeArtist	1641
272	ayamefag	1638
273	M_Patata	1633
274	MeetTheWollo	1631
275	lcvezra	1622
276	Harotio	1607
277	slkiey	1596
278	SSytex_X	1567
279	Kim_Jong_eel	1558
280	Winston_Ingram	1554
281	Natty	1551
282	KingFaenor	1549
283	Lukeee33	1546
283	_Razar	1546
285	CSG_Haru	1545
285	Wolverine4302	1545
287	Fuhrer_Teemo	1544
287	Dusk_95	1544
289	PegLegPete93	1541
290	MunkaKris	1526
291	The_slideV3	1521
292	soundad	1518
293	SkateboardR6	1516
294	Mowelan	1510
295	SwooshBoi	1492
296	jaimshae	1483
297	CliffEmAll	1466
298	Zedducius	1462
299	LexMakesHistory	1456
300	__Fanda__	1449
