rank	username	minecraft:used/minecraft:turtle_helmet
1	Jimb0nat0r	17
2	luseis	13
3	Blackberry1310	6
4	groofles	5
4	AdmiralSmoke	5
6	hm947	4
6	Kowcio_	4
8	Racengan	3
9	ECstardust	2
9	Mahoose	2
9	Gryglu583	2
9	THEKINGLyric10	2
9	Segotep999	2
9	cichy096	2
15	Apollo_993	1
15	eitanzaki	1
15	QuiCreans	1
15	SnowyAvi	1
15	TheSecondLord	1
15	ItsHydroMC	1
15	Fullut	1
15	lorpus	1
15	pvpGODfrfr	1
15	GreedyFern8581	1
15	Kreuvix	1
15	NomadicRobin_	1
15	NameGenerat0r	1
15	zOnlyKroks	1
15	Quotary	1
15	scarletwarrior1	1
