rank	username	minecraft:used/minecraft:acacia_slab
1	beeperbeeper5	7976
2	Smoke____	6072
3	Onennon	1577
4	Bandito_Roamer	1245
5	himak1	1154
6	Shogunite	691
7	Snowflowe	658
8	Doom_melon	635
9	Zedducius	633
10	TheSeismicDuck	623
11	Merv__	570
12	KlausVonStiglitz	492
13	Steelynan	458
14	Kubeusz2010	407
15	SvenskaHugo	392
16	Meatlaugh	383
17	EveryonesUncle	380
18	Winklepicker279	360
19	kekhon	349
20	gcaisawesome	346
21	BakersBanchOf	336
22	Frozil20	324
23	ImpavidArcher	322
23	set67	322
25	Franco093	320
26	EMC_	311
27	bitsplease	274
28	KarlKaek	266
28	DarlaMeow	266
30	JESS_THE_RERE	264
31	YungMaki	259
32	youhjjhhhjj	244
33	cichy096	226
34	xX_Stalin69_Xx	224
34	smogfrog	224
36	Werbe	214
37	ProfessorDiaper	211
38	EcksDofficial	207
39	2Stout	191
40	Barlycorn	175
41	Blackberry1310	172
42	LeeMcGee30	168
43	Enderslayerxz3	158
44	Myrosia	156
44	Freak_Genius	156
46	starbits140	143
47	Soul_Atreus	139
48	FreddyFart	134
49	TheShyPig	128
50	Hoid_the_Roamer	126
50	Lowjinx	126
52	Lez_	125
53	ApophisNova	120
53	MyNamaSheff	120
55	Mahoose	112
56	Sral7	111
57	PlasticOtari	102
58	tsitrawhy	100
59	peach0s	98
60	Schlitzman	92
61	ProfessorBee	90
61	lordpipe	90
63	r123moore	83
64	_Ruzeeq_	81
65	Frnjokl	80
66	xXTheWolfmanXx	73
67	Eraxa	71
68	Chuvacevedo	67
68	Soplight	67
70	Megarboh	64
71	MrKrabOnCoke	63
72	oxfordschool	62
73	Fractured_	59
74	TheSecondLord	57
75	Fullut	56
76	joethahobo	55
77	thewindmillman	53
77	Gryglu583	53
79	egglapras	44
80	Ezekson	42
81	MattieHD	39
82	ItsJunoIGuess	37
83	pintsizedrogue	34
83	SaucyDark	34
85	Mr_Byzantine	33
85	eitanzaki	33
87	yaboo88	31
88	Jiminie	28
89	Zaridey	26
89	Typadopoulos	26
91	MeowMeowMcmuffin	24
92	AgressiveEggdog	22
92	_Karmaa	22
94	m_be9	21
95	funeralhome	20
95	JayToe	20
97	hayybails	18
97	ibarker21	18
97	Lord_Jord	18
100	Alexanderjac	17
101	ChillenChiggen	16
102	lillips	15
103	AnnieBathory	13
103	Toriankel	13
105	Blaiku	12
105	Optiprimus	12
107	binman420	10
108	Kamflame10	8
108	Inbefour	8
108	DeGodz4life	8
111	Groovy_MoonBird	7
111	Jackattack53	7
111	_Bguette_	7
111	TechnoNinja64	7
115	Mocha_Mug	6
115	stellarjay	6
115	SirBreadward	6
118	12Magner05	5
118	MyNameIsJobo	5
118	GreedyFern8581	5
121	CoffeeNoir	4
121	TylerDupree	4
121	noam464	4
121	HellsSponge	4
121	El_Jalapeno	4
121	sp00ky_ghost977	4
127	Drlzyy	3
127	Incinere	3
127	Akoot_	3
130	dopplexd	2
130	SteveCraftBlocks	2
130	WET_WET_WET	2
130	MousePlays	2
130	thgrocks	2
130	claivin	2
130	Razzgriz	2
130	Vellu21	2
130	YoshikageBites	2
139	ShedJr_	1
139	jushykins	1
139	xxPipperDipperxx	1
139	Karetoko	1
139	Di_infiri	1
139	Quaintster	1
139	Crumbls	1
139	Spacewardharpy7	1
139	stahouo	1
