rank	username	minecraft:used/minecraft:magenta_stained_glass_pane
1	Smoke____	2870
2	beeperbeeper5	1656
3	lordpipe	345
4	SoftSix	157
5	jnp_gaming	151
6	6king6colt6	135
7	AltnumberF4	123
8	TheSecondLord	107
9	Ezekson	86
10	EMC_	61
11	Winklepicker279	45
12	Sral7	43
13	YungMaki	41
14	TheShyPig	37
15	Steelynan	31
16	ShedJr_	30
16	PlasticOtari	30
18	NomadicRobin_	25
18	El_Jalapeno	25
20	MakeHistory157	22
21	ProbsNotNova	19
22	tompup	18
23	Onennon	16
24	PigDab	15
25	XboxPanda	11
25	Rumpletaezer	11
27	UncreativeArtist	10
27	Arceus1975	10
29	TheEnderMan548	8
29	PortlyPete69	8
31	livingdaydreams	4
31	roxycherry	4
31	noam464	4
31	HesDemonPants	4
35	EcksD	3
36	binman420	2
37	Nycteus_	1
37	Spacewardharpy7	1
37	Jimb0nat0r	1
