rank	username	minecraft:used/minecraft:blackstone
1	Enderxz3	22352
2	TheSecondLord	20072
3	hanaryheatwave	15407
4	Iamthejo	11701
5	noam464	11481
6	thewindmillman	10717
7	Kowcio_	6794
8	Blaiku	5850
9	Mattesco	5755
10	k_ce	4137
11	Buuck_	3837
12	emreknugrlu	3256
13	joethahobo	2713
14	EveryonesUncle	2421
15	Fullut	2327
16	ItsDeltaMC	2294
17	ApophisNova	2176
17	MyNamaSheff	2176
19	Yamdalorian	2143
20	SquadMonster	2019
21	NomadicRobin_	1554
22	Deathkob	1530
23	U_Mos_	1335
24	Apollo_993	1330
25	PlasticOtari	1274
26	PazinGaming	1122
27	RebelAndroid	1105
28	beeperbeeper5	1097
29	EcksD	1047
30	ZoomieZoomie	1027
31	CalebDHawk	958
32	pintsizedrogue	864
33	Kakolbus	794
34	Manaateee	744
35	Hyp3rion_	738
36	Racengan	735
37	MAns_44	731
38	YungMaki	706
39	luseis	698
40	Huwulling	690
41	eitanzaki	649
42	Lutres_	648
43	lizardfightclub	641
44	Legendosh	640
45	Lord_Jord	631
46	Xalithia	605
47	Mahoose	508
48	hermmm_	494
49	Nicserso	442
50	Shogunite	433
51	RebytreGT	428
52	ogoa	427
53	FishyBoy3811	426
54	DracZz	397
55	ECstardust	385
56	r123moore	381
57	Secret_Canary	374
58	Marbz_	370
59	500am	369
60	Lez_	363
61	Werbe	357
62	Spenduh	355
63	soundad	343
64	set67	320
65	gustarlep	289
66	rarrq	285
67	Alteriity	269
68	Steelynan	251
69	BPTY4618	238
69	Eczbek	238
71	TheKingK_	233
72	iSammael	231
73	pixelviolin	229
74	Paint	225
75	BobDeBouwer1337	223
76	q_wq	222
76	HolyVenom	222
78	skitzxo	215
79	EtherealEspresso	202
80	Segotep999	201
81	himak1	198
82	Zythose	195
83	NinjaKnifeKill	193
84	SpacesickPrism	189
85	RadarHz	186
86	theonlymagikarp	182
87	titanlax	181
88	Historical_Sand	179
89	Billious	177
89	FreakGenius	177
91	bigstankyy	176
92	lorpus	169
93	T045RTY	166
93	Kubeusz2010	166
95	excelsionprime	163
96	fanofbands101	160
97	TheDankPlatypus	159
98	djancak	156
99	jacxhadow	154
