rank	username	minecraft:used/minecraft:jungle_door
1	Kim_Jong_eel	55
2	himak1	53
3	TheShyPig	38
4	FreakGenius	35
5	SvenskaHugo	29
6	Merv__	26
6	SaucyDark	26
6	Shogunite	26
9	Airem_Core	23
10	6king6colt6	20
10	M_Patata	20
10	MasterNueve	20
13	PlasticOtari	19
14	Smoke____	18
15	Fullut	17
16	MyNameIsJobo	16
16	EveryonesUncle	16
18	KingMatthew506	15
19	Steelynan	14
19	RadarHz	14
21	Swexti	13
22	H72l9w	12
22	kekhon	12
22	Inbefour	12
25	titanlax	11
25	Blackberry1310	11
25	BronkerBrum	11
25	Kferno	11
25	bladeefan2009	11
30	teslawolf38	10
30	zemey	10
30	Kubelz	10
30	luseis	10
30	MAns_44	10
30	Xclax101	10
30	Kowcio_	10
37	Hyugo	9
37	joethahobo	9
37	Hyp3rion_	9
37	Maenara	9
41	Harotio	8
41	Toiton	8
43	ShedJr_	7
43	12Magner05	7
43	_Nuf	7
43	Factoroni	7
43	Soplight	7
43	Hermanni__	7
43	little_dUki	7
50	ImpavidArcher	6
50	Hpdinosaur	6
50	Incinere	6
50	beeperbeeper5	6
50	mwrty	6
50	Xalithia	6
50	RefluxRatio	6
50	OffWithTheirHead	6
50	ProfessorDiaper	6
50	ConnorDanky_	6
50	jnp_gaming	6
61	Mr_Byzantine	5
61	Frozil20	5
61	CoffeeNoir	5
61	MattieHD	5
61	Eraza	5
61	drunkeeez	5
61	AnnieBathory	5
61	SvenskaAlvar	5
61	Toriankel	5
70	_Virify_	4
70	Mahoose	4
70	Yirtle	4
70	Winklepicker279	4
70	Windo_licker	4
70	DAD_1996	4
70	KASAN420	4
77	Mowelan	3
77	FirsTimeGamingTV	3
77	DSYisDizzy	3
77	_Boipl_	3
77	Dabatha	3
77	Blu3beast	3
77	ItsJunoIGuess	3
77	Njensen7	3
77	Enderxz3	3
77	IronicUwU1	3
87	Groovy_MoonBird	2
87	Bandito_Roamer	2
87	chrolus	2
87	Esme_1	2
87	CryoInferno_	2
87	eitanzaki	2
87	QuiCreans	2
87	PegLegPete93	2
87	Onennon	2
87	binman420	2
87	ese_wn_po	2
87	07shiny	2
87	_TCARREIRA_	2
87	00000000-0000-0000-0009-01f570995a20	2
101	pZygh0st	1
101	ITDV	1
101	_Dean_123	1
101	G1ldor	1
101	Scattman_	1
101	intropass	1
101	olliebollie48	1
101	noam464	1
101	SuperPooch06	1
101	Rebytre	1
101	Sheellky	1
101	TheWildMateo	1
101	LilLizardWizard	1
101	Leyna3	1
101	Akoot_	1
101	NomadicRobin_	1
101	GigaSl	1
101	DarlaMeow	1
101	HellsSponge	1
101	SwooshBoi	1
101	Vorlice	1
101	Hisiste	1
101	MovingFish7	1
101	YungMaki	1
101	PncakeUniverse	1
101	stellarjay	1
101	Rahikeru	1
101	Calbo_	1
