rank	username	minecraft:used/minecraft:iron_shovel
1	PigDab	28353
2	Ezekson	27883
3	Arceus1975	21458
4	cedric72	18700
5	M_Patata	16576
6	Di_infiri	16229
7	EcksDofficial	16218
8	picardred	16148
9	Freak_Genius	15943
10	MasterNueve	15758
11	Bandito_Roamer	13827
12	DanTheBuilderino	12357
13	_Dean_123	11635
14	Paintz	11426
15	Ajax6	11099
16	ImpavidArcher	10880
17	2Stout	10334
18	Lord_Jord	10175
19	Njensen7	9963
20	SkateboardR6	9486
21	pintsizedrogue	9032
22	NebulousBadger	8924
23	_Bguette_	8807
24	SammiWolfGirl	8761
25	Razzgriz	8737
26	El_Jalapeno	8636
27	_TCARREIRA_	8383
28	_Cloverbelle_	8011
29	bloodbiter	7780
30	Kubeusz2010	7661
31	wezzzi	7353
32	beeperbeeper5	7320
33	Froste131	7166
34	BlancoFlaco	6746
35	purpolepickle	6606
36	CoffeeNoir	6578
37	Warlord324	6577
38	TheShyPig	6246
39	Xovalt_	6138
40	Smoke____	6111
41	MightyWertu	5720
42	Kateesaur	5562
43	Tommhh	5550
44	ProfessorBee	5546
45	djancak	5486
46	rarrq	5362
47	awesomeoneme	5324
48	GLLogan2	5021
49	monky_irl	4904
50	Kowcio_	4901
51	Toriankel	4832
52	Kamflame10	4779
53	noam464	4777
54	Miko_Fullbuster	4587
55	firesgal3116	4551
56	kekhon	4535
57	Ze_BaronKrigler	4494
58	Nicky_H225	4469
59	Lowjinx	4455
60	Fullut	4424
61	WyngGoy	4418
62	Xclax101	4367
63	squillz105	4359
64	seanitoo	4350
65	Ssor69	4245
66	Base_Tempest	4228
67	Natty	4179
68	RadarHz	4074
69	AuroraValkyrie	4059
70	_Boipl_	4032
71	CrookedKaptain	4020
72	Optiprimus	3986
73	Kim_Jong_eel	3978
74	Mewar	3968
75	epiksk8erduck	3913
76	DrGrant	3873
77	RatatJuice	3797
78	Studyhallsaver	3786
79	eviltunix	3760
80	lOlmantschi	3751
81	IdeallyGrey	3654
82	Kferno	3644
83	LordSpeed37	3596
84	Smiguli_	3545
85	FallenCorps	3536
86	CliffEmAll	3520
87	DarkS0L	3515
88	robotemo	3512
89	Wooptey	3496
90	Ecplosive	3488
91	jnp_gaming	3478
92	oxfordschool	3430
93	Jiminie	3427
94	Xalithia	3401
95	Bumpy419	3369
96	youhjjhhhjj	3364
97	KeruNatsema	3333
98	Merv__	3322
99	bigstankyy	3240
100	DaKaveMan	3221
101	shdesolt	3207
102	KarlKaek	3149
103	cowgirlkasia	3133
104	GingerNeutron	3119
105	whoaluv	3078
106	MinuteMira	3045
107	SpaggeDR	3003
108	PortlyPete69	2982
109	Fildyr	2966
110	LilLizardWizard	2919
111	wiqor	2845
112	ElderRifken	2817
113	Frozil12	2776
114	MyNameIsJobo	2764
114	seramalen	2764
116	Tobinator_007	2736
117	wobn	2727
118	DermeinUser	2712
119	CalebDHawk	2695
120	Harotio	2676
121	RustyKedel	2669
122	jaimshae	2661
123	Katsuragi0243218	2658
124	MyNameIsDakar	2642
125	Lord_Zacler	2627
126	_8man	2602
127	Rumpletaezer	2601
128	stahouo	2568
129	TheSecondLord	2552
130	SuperPooch06	2528
131	platinumzero	2526
132	Onennon	2513
133	CarbonatedCola	2512
134	Mowelan	2498
135	anbbang	2488
136	NormanFetus	2476
137	Huic_ostiarius	2437
138	CharlieButt	2369
139	Darkgon	2347
140	DarlaMeow	2330
141	cichy096	2329
142	Bazongoman	2306
143	set67	2296
144	1442	2268
145	Steelynan	2260
146	Toiton	2223
147	bloomkieren	2185
148	Typadopoulos	2173
148	CheifJumbo	2173
150	breadbowlgamer	2166
151	coobert42	2165
152	Soul_Atreus	2147
153	thgrocks	2134
154	BigBootyHudge	2091
155	6king6colt6	2071
155	TheFlfthHorseman	2071
157	Ristebraaten	2061
158	eitanzaki	2046
159	Mr_Byzantine	2035
160	IAmTheWalrus910	2028
161	PeteO1995	2015
162	123louis456	2007
163	Enigma0251	2004
164	Negriuke	1998
164	RedcatVII	1998
166	smogfrog	1990
167	BumbleBeever	1986
168	LordAurum	1963
169	Drawgirll	1957
170	censorsheep	1953
171	VentiHilton	1943
172	ApophisNova	1928
172	MyNamaSheff	1928
174	TTNG	1921
175	Jiminbub	1903
176	Tolhart	1898
177	Leyna3	1846
177	KlausVonStiglitz	1846
179	NotoriousNina	1845
180	AlexStrange	1829
181	Meatlaugh	1826
182	Dedalus36	1823
182	sandmire	1823
184	HuangMeiHua	1815
185	UCP_TheKingK	1806
186	FirsTimeGamingTV	1790
186	Myhym	1790
188	Ardennes	1779
188	TheOnlyRake	1779
190	The11thDoctor	1767
191	ATrojansLegend	1762
191	burbankbuilder28	1762
193	AngalexikCZ	1760
194	Jaka_Saurus_715	1757
195	Matorz	1756
196	WET_WET_WET	1751
197	Slapface522	1749
198	Euclidoris	1743
199	Groovy_MoonBird	1740
200	Cowison	1733
201	Rainaldus	1714
202	Snowflowe	1710
203	Inbefour	1688
204	420BreadLizard	1681
205	Guillemet	1675
206	natajimi	1669
207	QuakerOatsGod	1662
207	Russiancat1	1662
209	PegLegPete93	1661
210	Historical_Sand	1624
211	dopplexd	1619
212	q_wq	1618
212	Windo_licker	1618
214	leaf26	1594
215	ROY4LE	1576
216	Zaridey	1573
217	Laykon	1571
218	ooga47	1566
219	4383	1561
220	Reamdin	1559
221	Zythose	1554
222	FroggoTheDoggo	1553
222	NarwhalTaco	1553
224	eiC_	1543
225	Skippeh	1542
226	MustardDrinker	1538
227	fanofbands101	1532
228	Felenov	1524
229	BlueZabu	1517
230	ConcretePirate	1515
231	livingdaydreams	1514
232	YungMaki	1513
233	lizardfightclub	1510
233	FlashMigma	1510
235	JESS_THE_RERE	1509
236	hollowww	1500
237	Da_Boss_Rani	1484
238	Cortexia	1466
239	avalan64	1453
240	Paint	1444
241	lotarp	1440
242	Nekomin0	1423
243	chlorinex	1420
244	Deathkob	1418
245	mobunni	1412
245	MelodyGaysharks	1412
247	TheEnderman548	1408
248	C0oOK13M0N5T3R	1401
249	ChampPog_	1399
250	560cool	1396
251	Renchi19	1381
252	ItsAki_	1378
253	gilesmcriles	1373
254	Deguns123	1365
255	JasmineGK	1361
256	G1ldor	1349
257	Soplight	1337
258	kinas45y5	1334
259	ItzYaBoiPicard	1322
260	OnlyOfficial	1311
261	Kakolbus	1289
262	ExtraDumb	1285
263	Frozt99	1284
263	Wowful	1284
265	Kiki_Majiki	1283
266	starbits140	1278
267	Awyrlas	1276
268	SamZombie	1273
269	TableTim	1269
269	Racengan	1269
271	Airem_Core	1268
272	lcvezra	1258
273	DontHaveKick	1255
274	Jalvajar	1253
274	OfficerAnvil	1253
276	Shavrin	1252
277	xxPipperDipperxx	1249
277	N7November	1249
279	dedgt	1242
280	MakeHistory157	1233
281	ibarker21	1227
282	Thaumatarge	1221
283	Jimi7hits	1217
284	thewindmillman	1216
285	Vellu21	1209
286	redikul	1205
287	Covalents	1196
288	wwwwinnebagoooo	1191
289	TheSeismicDuck	1184
290	sufjanlover	1183
291	alderban107	1174
292	Franco093	1173
293	ShedJr_	1162
294	Deodorante	1152
295	sp00ky_ghost977	1149
296	himak1	1147
297	Ze1ig	1141
298	Erased_Identity	1138
299	CrateOfBoxes	1132
299	Jij0	1132
