rank	username	minecraft:used/minecraft:egg
1	TheShyPig	19357
2	Enderxz3	6149
3	TechnoNinja64	6097
4	Jackattack53	5836
5	Groovy_MoonBird	5385
6	beeperbeeper5	5317
7	luseis	5261
8	MakeHistory157	4882
9	Lez_	4605
10	joethahobo	4487
11	Mahoose	4326
12	Smashic	4180
13	Zoeyfortnite	4174
14	Boipl	3358
15	k_ce	3181
16	YungMaki	3158
17	Hisiste	3076
18	UrbanPlanningEx	2759
19	TheWickedBird	2588
20	Niklas20114552	2576
21	pintsizedrogue	2520
22	M_Patata	2479
23	SammiWolfGirl	2439
24	xxPipperDipperxx	2415
25	Werbe	2180
26	kekhon	2155
27	SteveCraftBlocks	2147
28	FreakGenius	2066
29	djancak	1938
30	PlasticOtari	1902
31	Bandito_Roamer	1772
32	oscminus	1755
33	Blu3beast	1720
34	Gregward_Smith	1710
35	thescout7	1687
36	HellsSponge	1595
37	Frozil20	1590
37	Jimb0nat0r	1590
39	NomadicRobin_	1581
40	claivin	1570
41	Blaiku	1561
42	SwooshBoi	1555
43	KermitTheKripple	1553
44	_Dean_123	1529
45	annebolyn	1509
46	noam464	1466
47	T045RTY	1365
48	Blackberry1310	1350
49	Hiryu27	1321
50	Ezekson	1270
51	eitanzaki	1166
52	Yamdalorian	1129
53	emrekn	1112
54	skitzxo	1095
55	Snowflowe	1042
55	Gus2005	1042
57	SyntheticSurgeon	1018
58	ShedJr_	1009
59	Arceus1975	968
60	PazinGaming	954
61	PaperCanvas	934
62	_Nuf	915
63	Fullut	909
64	PortlyPete69	908
65	Skylord_Luke	901
66	elliebelle107	842
67	LordSpeed37	796
68	StinkyDiplomat	788
69	mobunni	779
70	El_Jalapeno	778
71	crashomon	777
72	ooga47	774
73	Soplight	758
74	Fuad_R	756
75	Kowcio_	749
76	Akoot_	743
77	Tolhart	730
78	Inbefour	725
78	Legendosh	725
80	epiksk8erduck	712
81	RebelAndroid	705
82	miramyu	698
83	teslawolf38	695
83	Sheldor097	695
85	ECstardust	650
86	grislgrobl	633
86	MasterNueve	633
88	ediballbearings	632
89	CoryJJ	627
90	PigDab	617
91	IamCL4SSY	608
92	EkkoTraveler	607
92	EcksD	607
94	CarltheCuck	605
95	Pumpkin_P_Patch	592
96	Kyrum2169	590
97	BlankityMcBlank	584
98	F_Uhre	577
99	pumpfonzo	567
99	Warlord324	567
101	Manaateee	562
102	Kakolbus	561
103	Mr_Byzantine	557
104	Hyp3rion_	536
105	lordpipe	532
106	censorsheep	518
107	Kateesaur	516
108	Eraxa	512
109	gcaisawesome	511
110	_witch_craft_	505
111	WyngGoy	503
111	stellarjay	503
113	ProbablyNick	499
114	Freedrik	481
115	Wanjibon	480
116	OfficerAnvil	466
117	The_slideV3	463
