rank	username	minecraft:used/minecraft:leather_boots
1	Jiminie	7
2	Blackberry1310	5
2	PlasticOtari	5
4	SuperPooch06	4
5	12Magner05	3
5	pixelviolin	3
5	Smoke____	3
8	_stets	2
8	Akoot_	2
10	MR__puma	1
10	AgressiveEggdog	1
10	shineh10	1
10	jimbo61101jr	1
10	Mahoose	1
10	Kaf1y	1
10	joethahobo	1
10	TheSecondLord	1
10	SteveCraftBlocks	1
10	egglapras	1
10	PlayingOnXbox360	1
10	Touched_Bread	1
10	noam464	1
10	SlayerCrypto	1
10	Jackattack53	1
10	thewindmillman	1
10	Solar_Power	1
10	Kreuvix	1
10	TheRedM8	1
10	Bonzaidalek	1
10	Eraxa	1
10	aywri	1
10	Segotep999	1
10	GlitchyPlate810	1
10	TheOuterCore	1
10	Xi_J1nping	1
10	00000000-0000-0000-0009-01f898304150	1
