rank	username	minecraft:used/minecraft:bamboo_mosaic_slab
1	lpinfinity	2864
2	k_ce	425
3	Buuck_	31
4	pintsizedrogue	21
5	Synthoum	7
6	Spaghettatron	4
7	Mr_Byzantine	2
7	McCakeAh	2
9	TheSecondLord	1
