rank	username	minecraft:used/minecraft:red_nether_brick_wall
1	Legendosh	1799
2	thewindmillman	1346
3	Snowflowe	447
4	k_ce	255
5	kekhon	246
6	Lord_Jord	239
7	FreakGenius	192
8	m_be9	191
9	noam464	125
10	pintsizedrogue	96
11	YungMaki	84
12	himak1	56
13	ooga47	41
14	PigDab	35
15	JitteryJared2	24
16	TheShyPig	23
17	TheSecondLord	22
18	master9067	20
19	lordpipe	16
20	eitanzaki	10
21	Kowcio_	8
22	Smashic	4
23	Manaateee	3
24	Mr_Byzantine	1
24	joethahobo	1
24	Di_infiri	1
24	NomadicRobin_	1
24	Nycteus_	1
24	cog	1
24	Spacewardharpy7	1
