rank	username	minecraft:used/minecraft:packed_ice
1	joethahobo	52544
2	beeperbeeper5	36309
3	Di_infiri	22670
4	HellsSponge	21851
5	TheShyPig	16957
6	TheSecondLord	16614
7	censorsheep	12461
8	Legendosh	10261
9	ROY4LE	9933
10	fred870d	9695
11	Smoke____	8359
12	jcool7	8150
13	Spacewardharpy7	7817
14	noam464	7784
15	YungMaki	7552
16	MakeHistory157	6297
17	thescout7	5700
18	Sral7	5672
19	Winklepicker279	5607
20	Hyp3rion_	5350
21	Werbe	5346
21	AssEatrAndLicker	5346
23	eitanzaki	5121
24	Blu3beast	3839
25	gcaisawesome	3662
26	jnp_gaming	3613
27	stellarjay	3590
28	Frozil12	3506
29	301851	3502
30	mwrty	3426
31	EveryonesUncle	3400
32	Onennon	3378
33	ssleepless	3372
34	_Dean_123	3300
35	rarrq	3182
36	Arceus1975	2927
37	PigDab	2856
38	Sky_light_KING	2667
39	Blaiku	2616
40	Hermanni__	2469
41	Groundler	2378
42	Enderslayerxz3	2336
43	Vorlice	2284
44	lordpipe	2255
45	RebelAndroid	2033
46	MilleGrug	2017
47	Fullut	1971
48	PlasticOtari	1939
49	fluddd	1791
50	thewindmillman	1768
51	m_be9	1700
52	Awyrlas	1696
53	lizardfightclub	1643
54	Snowflowe	1576
55	Racengan	1546
56	Razzgriz	1419
57	NoChumpChange	1377
58	Kyrum2169	1371
59	Soplight	1319
60	Nicserso	1295
61	EMC_	1286
62	Megarboh	1280
62	JayToe	1280
64	Kowcio_	1245
65	diggydog67	1176
66	kekhon	1172
67	_Karmaa	1121
68	claivin	1087
69	lcvezra	1084
70	KG1999	1045
71	TooManyDuck	1041
72	Blackberry1310	1032
73	__tomato	1026
74	Chromary	1001
75	Kakolbus	988
76	zmpeg	979
77	CrateOfBoxes	974
78	T045RTY	955
79	Historical_Sand	948
80	NameGenerat0r	908
81	Cocoamallows	886
82	RyuNeko932000	864
83	12Magner05	861
84	chipklip	855
85	SammiWolfGirl	835
86	set67	833
87	PortlyPete69	824
88	TechnoNinja64	809
89	MousePlays	800
90	oxfordschool	783
91	Groovy_MoonBird	782
92	tramizu	780
93	MightyWertu	772
94	Rumpletaezer	741
95	JESS_THE_RERE	708
96	EcksD	673
97	SingedBread	660
98	yatsuta	656
99	Inchef	646
100	H72l9w	627
101	Akoot_	613
101	h2p_emrld	613
103	yulgur1	611
104	r123moore	567
105	voiding_	556
106	chlorinex	555
107	Ezekson	535
108	Mahoose	516
109	pintsizedrogue	514
110	ApophisNova	510
110	MyNamaSheff	510
112	MovingFish7	509
113	loveseeker	463
114	Merv__	459
115	Marbz_	458
116	fffMike	451
117	bigstankyy	450
118	PhantomsGhost_	423
119	Aezekial	417
120	Eraxa	416
121	himak1	413
122	TheTrueClipse	397
123	AltnumberF4	393
124	IvarEXE	369
125	IdeallyGrey	366
126	Skippeh	329
127	Skylord_Luke	321
128	Rocco_Lane	309
129	Ssor69	305
130	ratglock	300
131	Warlord324	296
132	ShedJr_	295
133	Jackattack53	280
134	MyNameIsJobo	277
135	SteveCraftBlocks	260
136	CharlieButt	258
137	MustaLoordi	256
137	Faart	256
139	_Bguette_	245
140	AshleeCW	242
141	BreadBacon	241
142	geekbird	237
143	Euclidoris	230
143	LexMakesHistory	230
145	picardred	228
146	WYFYoyo	227
147	ewsophie	217
148	ImpavidArcher	214
149	XxCookiequeenxX	211
150	Inbefour	195
151	Kubeusz2010	194
152	wickedword	192
153	Natofthese	188
154	FirsTimeGamingTV	187
155	xxPipperDipperxx	185
156	Franco093	178
157	Maenara	172
158	Kynigito	164
159	audiocracked	162
160	mawileite	154
161	XeroByMyth	145
162	Quotary	139
163	Nicky19	138
164	500am	137
165	_Virify_	133
166	trexgb	131
167	OG_Songsee	130
167	EcksDofficial	130
169	Drlzyy	129
169	6king6colt6	129
169	Xclax101	129
172	Dusk_95	128
173	Kamflame10	122
174	Zoeyfortnite	120
175	pixelviolin	118
176	Myszoaz	102
177	Barlycorn	99
178	Reamdin	94
178	XboxPanda	94
180	BlueZabu	92
180	andy_rex	92
182	Stynxy	89
182	WinterYoke	89
184	Scathra	88
184	El_Jalapeno	88
186	Hoid_the_Roamer	87
187	Shogunite	84
188	MineMaster0012	76
189	ayamefag	75
189	kinas45y5	75
191	Freak_Genius	74
192	aec9	73
192	Smiguli_	73
194	KarlKaek	71
194	awesomeoneme	71
196	RocketRidge	70
196	obzii	70
198	BobDeBouwer1337	65
199	CoffeeNoir	64
199	insanepace	64
199	NotMeanttoChange	64
199	Vegvisir	64
199	Sheldor097	64
199	Hylo482y	64
205	RobotMinion101	60
206	smogfrog	57
207	eviltunix	50
208	SuperPooch06	49
209	Fizznut909	45
210	King_Pancake1	42
210	Hisiste	42
212	Shiirazuku	41
213	AlphaWolfPlaysMC	40
