rank	username	minecraft:used/minecraft:cracked_deepslate_bricks
1	Manaateee	644
2	mihimihimihi	465
3	_Huge_Male_	295
4	YungMaki	228
5	jessewegottacook	113
6	TAKrules	95
7	SvenskaHugo	69
8	Merv__	62
9	Jimb0nat0r	58
10	CaracolCxnt	32
11	PazinGaming	21
12	12Magner05	16
13	Mr_Byzantine	14
14	Wowful	6
15	Hahaa_0	5
16	thewindmillman	4
16	PaperCanvas	4
18	H0UNDFRMH3LL	2
18	SmashingPump	2
18	Sleepy_Time_	2
18	Jackattack53	2
18	Enderxz3	2
23	pintsizedrogue	1
23	powercas_gamer	1
23	DinoDoctor_	1
23	ITDV	1
23	Krowuss	1
