rank	username	minecraft:used/minecraft:deepslate_iron_ore
1	thewindmillman	2534
2	EMC_	450
3	corvidpartyfor6	268
4	Enderxz3	181
5	LeauVox4921	169
6	calamariclam_I	145
7	pintsizedrogue	141
8	luseis	138
9	Snowflowe	121
10	Iamthejo	114
11	PlasticOtari	109
12	fw3xywashere	100
13	MinttyFressh	90
14	Kakolbus	86
15	pixelviolin	85
16	gcaisawesome	76
17	dartwaffle	74
18	TheSecondLord	69
19	RoofTyler	60
20	Secret_Canary	56
21	ApophisNova	47
21	MyNamaSheff	47
23	SpacesickPrism	46
24	masskedman	45
25	RealGroot	44
26	Lutres_Torane	36
27	WYFYoyo	35
28	RebelAndroid	30
29	Megarboh	29
30	shadowthemonkey	26
31	FreakGenius	21
32	SvenskaAlvar	20
33	12Magner05	18
34	Jimb0nat0r	17
35	FazeObama69	13
35	hcb238	13
35	groofles	13
38	Ryker	12
38	ShedJr_	12
38	Toriankel	12
41	Crowman1	11
42	Hyp3rion_	10
43	Flores991	9
44	Silvo614	8
44	RadarHz	8
46	500am	7
46	Steelynan	7
48	k_ce	6
48	TheALV	6
50	Huwulling	5
50	Khelvoryk	5
50	Jimi7hits	5
53	Awyrlas	4
53	SingedBread	4
53	technic_squirrel	4
53	EngagedGrub41	4
57	Mahoose	3
57	Sleepy_Time_	3
57	Mattesco	3
57	Elastiq	3
57	binman420	3
57	ItsDeltaMC	3
57	Smoke____	3
64	BlackShadow_1007	2
64	diamondgolem35	2
64	Rebytre	2
64	NomadicRobin_	2
64	MAns_44	2
64	wwwwinnebagoooo	2
64	Kowcio_	2
71	eitanzaki	1
71	SyntheticSurgeon	1
71	beeperbeeper5	1
71	rarrq	1
71	Smashic	1
71	KGTV	1
71	corpsecity	1
71	Dan_Scha	1
71	Spacewardharpy7	1
71	lordpipe	1
71	sp00ky_ghost977	1
71	MilleGrug	1
71	Ezekson	1
