rank	username	minecraft:used/minecraft:experience_bottle
226	fkGrim	1
226	AspenLightVT	1
226	GigaSl	1
226	DarkS0L	1
226	_Karmaa	1
226	censorsheep	1
226	RedcatVII	1
226	Spacewardharpy7	1
226	mihimihimihi	1
226	Druid95	1
226	Cocoamallows	1
226	OPTOMA_KING	1
226	AssFullaCum	1
226	Kyrum2169	1
226	__tomato	1
226	PncakeUniverse	1
226	miramyu	1
226	stellarjay	1
