rank	username	minecraft:used/minecraft:gray_stained_glass
1	non089	32681
2	joethahobo	29139
3	thescout7	9959
4	cog	5978
5	Deathkob	4308
6	noam464	2889
7	Spacewardharpy7	2791
8	mwrty	2627
9	thewindmillman	2031
10	Mahoose	1845
11	Blackberry1310	1665
12	TheSecondLord	1639
13	Smoke____	914
14	Groundler	889
15	Soplight	887
16	Merv__	810
17	Di_infiri	756
18	Skylord_Luke	730
19	pixelviolin	645
20	Zoeyfortnite	554
21	_Virify_	455
22	beeperbeeper5	442
23	ogoa	425
24	500am	403
25	PigDab	235
26	ApophisNova	233
26	MyNamaSheff	233
28	Stynxy	219
29	Arceus1975	196
30	MattieHD	195
31	PlasticOtari	161
32	KG1999	149
33	kekhon	143
34	XxCookiequeenxX	130
35	Inchef	127
36	eitanzaki	124
37	oreee	110
38	TheShyPig	108
39	Blaiku	88
40	Mattesco	81
41	Dedalus36	68
42	Jeteight	63
43	Hyp3rion_	55
44	Werbe	52
45	LexMakesHistory	51
46	rarrq	40
47	Skippeh	38
48	MyNameIsJobo	36
49	Rebytre	32
50	Frozil20	29
51	Historical_Sand	24
51	Ecplosive	24
51	Solar_Power	24
54	ImpavidArcher	23
55	ZeroKraken	22
56	Sky_light_KING	21
56	stahouo	21
58	mihimihimihi	18
59	Fuad_R	17
60	NomadicRobin_	16
60	the__Reaper4999	16
60	HesDemonPants	16
63	teslawolf38	15
64	pintsizedrogue	9
64	Akoot_	9
64	jnp_gaming	9
67	Xclax101	8
68	SammiWolfGirl	7
68	Quotary	7
70	xxPipperDipperxx	6
70	Spenduh	6
72	MixerDixer	5
72	egglapras	5
72	HyperCave	5
72	lcvezra	5
76	CliffEmAll	4
76	emrekn	4
76	fred870d	4
76	MeetTheWollo	4
80	EveryonesUncle	3
80	Eraxa	3
82	Hpdinosaur	2
82	Chromary	2
82	Zythose	2
82	Hoid_the_Roamer	2
82	Maenara	2
82	binman420	2
82	HellsSponge	2
82	Shogunite	2
82	fluddd	2
82	SexcMf	2
82	Kowcio_	2
82	FelixPSY375	2
94	Jorrdi	1
94	MinttyFressh	1
94	MonitorLizards	1
94	Inbefour	1
94	lillips	1
94	Blu3beast	1
94	lordpipe	1
94	TheTommyGun63	1
94	Nagasaki_Riku	1
94	fffMike	1
94	Enderslayerxz3	1
94	h2p_emrld	1
