rank	username	minecraft:used/minecraft:spruce_door
1	burbankbuilder28	384
2	Lez_	308
3	Legendosh	303
4	El_Jalapeno	291
5	Bumpy419	284
6	Mahoose	280
7	BreadCatFan5400	278
8	kekhon	268
9	Shogunite	219
10	beeperbeeper5	217
11	m_be9	191
12	Steelynan	181
13	Ryan_GEMS	174
14	500am	149
15	pintsizedrogue	143
16	Merv__	141
17	SaintJosie	134
18	luseis	132
19	Manaateee	125
20	TheSecondLord	123
21	joethahobo	122
22	Skylord_Luke	119
23	Onennon	114
24	AdmiralSmoke	104
25	Inchef	102
25	lcvezra	102
27	_stets	100
28	diamondgolem35	99
28	Enderxz3	99
30	Eraxa	90
31	TheShyPig	88
32	_Dean_123	87
33	MattieHD	82
34	ImpavidArcher	80
34	pixelviolin	80
36	SvenskaHugo	79
37	Fullut	78
37	wwwwinnebagoooo	78
39	Dakar_	77
40	rarrq	76
41	xolstoi	75
42	Kowcio_	74
43	_Boipl_	71
44	xxPipperDipperxx	65
44	Mattesco	65
46	himak1	64
47	KarlKaek	62
48	Blackberry1310	61
48	Kakolbus	61
48	ConnorDanky_	61
51	ApophisNova	59
51	MyNamaSheff	59
53	Wolverine4302	58
54	RoskobiOne	55
54	zorin123	55
56	EMC_	52
56	Rebytre	52
58	Kamflame10	50
58	Rumpletaezer	50
58	Felenov	50
58	HellsSponge	50
62	Guillemet	49
62	fkGrim	49
62	_Bguette_	49
65	Skippeh	47
66	RatatJuice	46
67	Voxin2K	45
68	Groovy_MoonBird	44
68	DAD_1996	44
68	Ze_BaronKrigler	44
68	Ezekson	44
72	Mr_Byzantine	43
73	Sleek_Storm_721	40
73	DarkLawD	40
73	SpacesickPrism	40
73	CalebDHawk	40
77	Arceus1975	39
77	Jimb0nat0r	39
79	Comma__	38
79	SkateboardR6	38
81	SuperPooch06	35
81	EngagedGrub41	35
83	FreakGenius	34
83	PlasticOtari	34
85	Incinere	33
85	robotemo	33
87	Jovaphobic	32
87	Inbefour	32
89	soundad	31
89	T045RTY	31
89	ShedJr_	31
89	groofles	31
93	gaziter10	30
93	dopplexd	30
93	Cryptacity	30
93	bloodbiter	30
93	Soplight	30
93	CattSoup	30
99	k_ce	29
99	Megarboh	29
99	Di_infiri	29
99	F_Uhre	29
99	MAns_44	29
99	sleepdrifter_	29
99	Quotary	29
106	oscminus	28
106	claivin	28
108	Crowman1	27
