rank	username	minecraft:used/minecraft:smooth_quartz
1	joethahobo	20262
2	Ezekson	13237
3	lordpipe	13223
4	Deerfoot	9529
5	Frozil20	9358
6	noam464	7070
7	wwwwinnebagoooo	6620
8	beeperbeeper5	6240
9	Mahoose	5923
10	Fuad_R	4820
11	Di_infiri	4799
12	Lutres_	4104
13	Lord_Jord	3567
14	himak1	3356
15	TheSecondLord	3307
16	AdmiralSmoke	2818
17	xolstoi	2801
18	ImpavidArcher	2684
19	EMC_	2484
20	Blaiku	2205
21	Mattesco	2136
22	UltraZombie	2033
23	FreakGenius	1910
24	cedric72	1592
25	jnp_gaming	1483
26	AltnumberF4	1429
27	pintsizedrogue	1251
28	luseis	1130
29	Jackattack53	1095
30	lillips	1059
31	Spacewardharpy7	1057
32	MakeHistory157	1055
33	Snowflowe	1039
34	NameGenerat0r	1018
35	fluddd	947
36	Rocco_Lane	934
37	_Dean_123	920
38	Elastiq	711
39	EveryonesUncle	680
40	kekhon	589
41	m_be9	556
42	EngagedGrub41	550
43	eitanzaki	549
44	YungMaki	539
45	Hyp3rion_	479
46	_Karmaa	454
47	Manaateee	419
48	Kowcio_	409
49	Chromary	406
50	LexMakesHistory	293
51	Lez_	292
52	500am	283
53	Sral7	269
54	ApophisNova	266
54	MyNamaSheff	266
56	Hpdinosaur	263
57	Merv__	261
58	NomadicRobin_	260
59	PlasticOtari	258
60	EfficientC52	257
61	Skylord_Luke	252
62	Eraxa	247
63	mobunni	240
64	KarlKaek	223
65	NotMeanttoChange	216
66	Arceus1975	206
67	shadowthemonkey	205
68	Smashic	200
68	TheTommyGun63	200
70	Spenduh	147
71	GooseWithin	129
72	Kubeusz2010	127
73	Optiprimus	119
74	Cowison	116
75	bearlystraight	99
76	M_Patata	90
76	mihimihimihi	90
76	MasterNueve	90
79	MightyWertu	88
80	SammiWolfGirl	79
80	EcksD	79
82	h2p_emrld	69
83	Fullut	68
84	_Huge_Male_	58
84	Soplight	58
86	Blackberry1310	57
86	Shogunite	57
88	hm947	55
89	paranoid_plant	50
89	Krowuss	50
89	MAns_44	50
92	Touched_Bread	42
93	Myszoaz	32
93	obzii	32
95	SuperPooch06	31
96	xxPipperDipperxx	28
97	SaintJosie	27
98	thewindmillman	26
98	FishyBoy3811	26
100	Marbz_	24
100	DAD_1996	24
102	ConnorDanky_	19
103	Blu3beast	18
104	Akoot_	16
105	rarrq	15
106	yheece	14
106	_Mythic____	14
108	IgnoredBee	13
108	stavgod	13
108	fffMike	13
111	theonlymagikarp	12
112	AuroraValkyrie	11
112	catandmoose	11
112	SteveCraftBlocks	11
115	iSammael	10
116	pr33tu	9
116	r123moore	9
118	Incinere	8
118	_Boipl_	8
118	RobotMinion101	8
121	Huwulling	7
122	ColeSnyder	5
122	MyNameIsJobo	5
122	LeonelSalamanca	5
122	Nycteus_	5
122	skrongus	5
127	I_Am_Mushkin	4
127	Zythose	4
127	RohnJosin	4
127	UCP_TheKingK	4
127	CalebDHawk	4
127	Legendosh	4
133	Gundam_Steven	3
133	Jakobo1337	3
133	The_slideV3	3
133	SingedBread	3
133	xzvu	3
133	Eczbek	3
139	CLG_Kata	2
139	ECstardust	2
139	nattybears	2
139	Prismyst	2
139	oreee	2
139	Moofyman	2
139	Y_A_N_N_I	2
139	Meeerkat	2
139	TheEnderMan548	2
139	ProbsNotNova	2
139	_3Stump_	2
139	TechnoNinja64	2
151	PhantomsGhost_	1
151	BPTY4618	1
151	PazinGaming	1
151	DinoDoctor_	1
151	MoistMicrowave	1
151	ShedJr_	1
151	Historical_Sand	1
151	Swexti	1
151	HoltGrim	1
151	AJplaysMC_	1
151	DebbieBrunswick	1
151	ooga47	1
151	BRRRN179	1
151	fw3xy74	1
151	Inbefour	1
151	Syropatathe	1
151	TrustStein	1
151	weabis	1
151	Zoeyfortnite	1
