rank	username	minecraft:used/minecraft:torchflower_seeds
1	pintsizedrogue	780
2	Mattesco	288
3	Kowcio_	234
4	Enderxz3	231
5	MAns_44	211
6	cuddlyMonster	64
7	TheSecondLord	37
8	luseis	32
9	Merv__	31
10	hanaryheatwave	24
11	KamFurnace	16
12	Jimb0nat0r	11
13	j5ylim	8
13	craaaash	8
13	robonya_	8
16	Pumpkin_P_Patch	7
17	k_ce	4
17	Fullut	4
17	XxCookiequeenxX	4
17	EveryonesUncle	4
21	ZaneABrain	3
21	oscminus	3
21	FiguraDei	3
24	Alteriity	2
25	PazinGaming	1
25	ECstardust	1
25	beeperbeeper5	1
25	royal_2	1
25	_witch_craft_	1
25	Hyp3rion_	1
25	Steelynan	1
