rank	username	minecraft:used/minecraft:waxed_cut_copper_stairs
1	Mattesco	6140
2	EMC_	441
3	Segotep999	277
4	PlasticOtari	219
5	TheSecondLord	204
6	Lez_	189
7	Jimb0nat0r	165
8	thewindmillman	126
9	Solar_Power	106
10	12Magner05	86
11	Mr_Byzantine	67
12	ScootOfBoot	59
13	hanaryheatwave	54
14	Touched_Bread	50
15	AdmiralSmoke	38
16	Manaateee	28
17	Kowcio_	17
18	LeauVox4921	13
18	UCP_TheKingK	13
20	FreakGenius	9
21	beeperbeeper5	6
21	Krowuss	6
23	j5ylim	4
23	Smashic	4
25	fluddd	3
25	StarCookiees_	3
25	pizzarel_	3
28	Merv__	2
29	Jackattack53	1
