rank	username	minecraft:used/minecraft:beetroot_soup
1	pintsizedrogue	32
2	TechnoNinja64	31
3	Yamdalorian	17
4	Blackberry1310	11
5	kekhon	9
5	CalebDHawk	9
7	bloodbiter	8
8	El_Jalapeno	7
9	12Magner05	6
9	cedric72	6
9	SUN_DREAM	6
12	Cortexia	4
12	LibertyMutual	4
12	Steelynan	4
15	Tiberonus	3
15	NomadicRobin_	3
15	E775	3
15	IAmTheWalrus910	3
15	ZeaBaron	3
15	alanbleachdemon	3
15	es0th	3
22	SaltineDream	2
22	6king6colt6	2
22	Caribouse	2
22	BlancoFlaco	2
22	TooManyDuck	2
22	Arteriana	2
22	Epicguyuk	2
22	Fullut	2
22	noam464	2
22	Kubelz	2
22	Leithz6	2
22	sp00ky_ghost977	2
22	_TCARREIRA_	2
22	Ezekson	2
36	emzero	1
36	k_ce	1
36	Mr_Byzantine	1
36	PhantomsGhost_	1
36	dabloons	1
36	Merv__	1
36	ECstardust	1
36	Frozil20	1
36	Sleek_Storm_721	1
36	bigstankyy	1
36	Bad_At_Names_Guy	1
36	Hpdinosaur	1
36	Mahoose	1
36	beeperbeeper5	1
36	teqilas	1
36	FirsTimeGamingTV	1
36	rarrq	1
36	royal_2	1
36	Ravenbie	1
36	pr33tu	1
36	corvidpartyfor6	1
36	Secret_Canary	1
36	_witch_craft_	1
36	excelsionprime	1
36	Masssonnn	1
36	UncreativeArtist	1
36	mwrty	1
36	ROY4LE	1
36	Kelloogs	1
36	mipTheQueen	1
36	shadowthemonkey	1
36	TakeThis2UrGrave	1
36	Jackattack53	1
36	thewindmillman	1
36	Hyp3rion_	1
36	Boipl	1
36	oscminus	1
36	_Cloverbelle_	1
36	lizardfightclub	1
36	luseis	1
36	Karbl	1
36	Manaateee	1
36	HellsSponge	1
36	claivin	1
36	Quaintster	1
36	Blu3beast	1
36	Xclax101	1
36	Spacewardharpy7	1
36	AvaRosey	1
36	bruh072	1
36	Eraxa	1
36	Moss_2006	1
36	pixelviolin	1
36	Kowcio_	1
36	Soplight	1
36	miramyu	1
36	SammiWolfGirl	1
36	PlzNoBM	1
36	UltraZombie	1
36	elliebelle107	1
36	Skippeh	1
36	Nicserso	1
36	Enderxz3	1
36	Jimb0nat0r	1
36	PlasticOtari	1
