rank	username	minecraft:used/minecraft:zombie_head
1	YungMaki	43
2	kekhon	26
3	joethahobo	20
3	Fullut	20
5	eitanzaki	16
5	Blaiku	16
7	ShedJr_	13
7	Ezekson	13
9	Jovaphobic	12
9	Blu3beast	12
11	Jimb0nat0r	10
12	Mahoose	9
13	Pumpkin_P_Patch	8
14	myaccountwasgone	7
14	skroobiez	7
14	Akoot_	7
14	SingedBread	7
14	sp00ky_ghost977	7
14	jcool7	7
14	PlasticOtari	7
21	pintsizedrogue	6
21	Apollo_993	6
21	Merv__	6
21	fkGrim	6
21	Tyrannosplart	6
21	Segotep999	6
27	TheSecondLord	5
27	Maenara	5
27	HellsSponge	5
27	Enderxz3	5
31	Lez_	4
31	beeperbeeper5	4
31	Hiryu27	4
31	EdGalbraith	4
31	Kowcio_	4
31	CalebDHawk	4
31	2blox_	4
31	Yamdalorian	4
39	ROY4LE	3
39	noam464	3
39	MAns_44	3
39	SammiWolfGirl	3
39	Skippeh	3
39	Quotary	3
39	h2p_emrld	3
46	PazinGaming	2
46	Incinere	2
46	T045RTY	2
46	lorpus	2
46	yheece	2
46	Krowuss	2
46	Druid95	2
46	stavgod	2
46	StarCookiees_	2
46	xzvu	2
46	cichy096	2
46	BreadBacon	2
46	jnp_gaming	2
46	calamariclam_I	2
60	ECstardust	1
60	shineh10	1
60	Frozil20	1
60	SaucyDark	1
60	Alteriity	1
60	fr0stss	1
60	Blackberry1310	1
60	Secret_Canary	1
60	500am	1
60	excelsionprime	1
60	emrekn	1
60	WET_WET_WET	1
60	Hyp3rion_	1
60	Solar_Power	1
60	oscminus	1
60	Werbe	1
60	RobotMinion101	1
60	F_Uhre	1
60	IamCL4SSY	1
60	fw3xy74	1
60	luseis	1
60	emreknugrlu	1
60	claivin	1
60	zKaneki	1
60	Kura2218	1
60	_i_ERROR_i_	1
60	ZoomieZoomie	1
