rank	username	minecraft:used/minecraft:rail
1	HellsSponge	45736
2	Di_infiri	16968
3	PigDab	10743
4	pintsizedrogue	10733
5	noam464	9875
6	eitanzaki	7824
7	Smoke____	7617
8	Franco093	7127
9	IAmTheWalrus910	5019
10	thewindmillman	4993
11	Hyp3rion_	4977
12	mariominejedi	4912
13	Freak_Genius	4904
14	Skylord_Luke	4536
15	Soplight	4416
16	TechnoNinja64	4073
17	Spacewardharpy7	3883
18	thescout7	3493
19	Kakolbus	3308
20	joethahobo	3173
21	TheShyPig	3153
22	Werbe	3022
23	beeperbeeper5	2945
24	Mahoose	2795
25	EveryonesUncle	2604
26	Jackattack53	2507
27	_Virify_	2404
28	EMC_	2353
29	Snowflowe	2331
30	OfficerAnvil	2290
31	Comma__	2265
32	MightyWertu	2259
33	obzii	2174
34	pixelviolin	2126
35	DanTheBuilderino	2053
36	FishyBoy3811	1982
37	El_Jalapeno	1805
38	YungMaki	1787
39	vandmanden	1750
40	oxfordschool	1640
41	Blaiku	1596
42	Skomo	1587
43	PlasticOtari	1578
44	Historical_Sand	1568
45	JESS_THE_RERE	1516
46	Jordan_R	1507
47	q_wq	1484
48	Akoot_	1422
49	07shiny	1387
50	Ezekson	1351
51	Inbefour	1287
52	sebastiensaborio	1281
53	Rumpletaezer	1269
54	fffMike	1242
55	gcaisawesome	1239
56	soundad	1149
57	Quincannon	1128
58	Racengan	1124
59	Frozil12	1122
60	The_slideV3	1108
61	Hermanni__	1088
62	diamondgolem35	1069
63	Hiryu27	1064
64	Kim_Jong_eel	1016
65	CruncyIsTaken	1013
66	Legendosh	962
67	jacxhadow	952
68	T045RTY	906
69	RustyKedel	898
70	PortlyPete69	884
71	RebelAndroid	879
72	Blu3beast	877
73	audiocracked	876
74	Rebytre	857
75	MattieHD	846
76	EcksD	830
77	Quotary	825
78	Bandito_Roamer	818
79	Groundler	807
80	MyNameIsJobo	804
81	Nycteus_	776
82	kekhon	770
83	Chromary	737
84	rarrq	730
85	TheSeismicDuck	696
86	Xclax101	692
87	censorsheep	690
88	Warlord324	688
89	Sral7	682
90	SammiWolfGirl	676
91	Xalithia	661
92	12Magner05	651
93	ivorico	646
94	ProfessorBee	638
95	_NieToksikpl_	633
96	DTwenty	625
97	CharlieButt	603
98	xxPipperDipperxx	596
99	emrekn	593
100	eviltunix	587
101	ShedJr_	579
102	BlankityMcBlank	574
103	Hisiste	555
104	DarlaMeow	530
105	MilleGrug	519
106	Dusk_95	514
107	Powowowow	512
108	MakeHistory157	499
109	sufjanlover	497
110	Typadopoulos	495
110	kyouma777	495
112	ayamefag	482
113	killmeiamtraitor	479
114	mawileite	478
115	Lord_Jord	474
115	Eraxa	474
115	jnp_gaming	474
118	Jovaphobic	471
119	wezzzi	470
120	Darkgon	465
121	DolphinLaugh	457
122	slkiey	456
123	PhantomsGhost_	446
124	InfernalMound	440
124	Soul_Atreus	440
126	Mowelan	439
127	TheSecondLord	437
128	awesomeoneme	427
129	SellyZ	408
130	BumbleBeever	403
131	H72l9w	396
132	Blackberry1310	395
133	DemTechAlpha	389
134	ReyTheLegend	384
135	__tomato	383
136	CoffeeNoir	381
137	KingMatthew506	372
138	Dedalus36	368
139	The_SlideV5	361
140	Base_Tempest	360
141	sp00ky_ghost977	359
141	anbbang	359
143	Enderslayerxz3	356
144	FelixPSY375	352
145	youhjjhhhjj	351
146	Bolete	344
147	ProbsNotNova	336
148	Megarboh	333
149	Cowison	331
150	WyngGoy	320
151	ooga47	317
152	teslawolf38	316
153	Shogunite	315
154	UrbanPlanner1978	312
155	AlexStrange	308
156	ElderRifken	304
157	EfficientC52	300
158	stavgod	295
159	masskedman	292
160	MustaLoordi	289
161	SUN_DREAM	288
162	2Stout	286
163	Frxnkz	284
163	_Nuf	284
165	Bumpy419	280
165	SingedBread	280
167	Rasmanden	279
168	kars0n	272
168	TheOuterCore	272
170	djancak	264
171	Merv__	251
172	bloodbiter	247
172	lcvezra	247
174	Laykon	245
175	M_Patata	240
176	livingdaydreams	238
177	lordpipe	234
178	GravitySaint	231
179	Onennon	229
179	RadarHz	229
181	gabriels543	228
182	FishisTTV	225
183	Fullut	224
184	Kubelz	223
185	Hanselhoof	220
186	cedric72	218
187	Drewen24	216
187	Cyntrical	216
189	eiC_	214
190	2blox	210
191	Leyna3	209
192	chimpmunker	208
192	Skippeh	208
194	Ecplosive	205
195	Barlycorn	198
196	DAD_1996	197
197	theonlymagikarp	191
198	Shin69	189
199	LetsDoItLive	184
200	ImpavidArcher	181
201	Njensen7	179
202	NotMeanttoChange	173
203	Luigipunch989	171
204	GingerNeutron	165
205	PegLegPete93	163
206	MusicMe1005	160
207	Moetis	157
208	ROY4LE	156
209	FirsTimeGamingTV	153
210	6king6colt6	147
211	Malorn_Aetherius	142
212	ApophisNova	141
212	MyNamaSheff	141
214	andy_rex	140
