rank	username	minecraft:used/minecraft:glow_item_frame
1	thewindmillman	72
2	Kowcio_	66
3	12Magner05	47
4	Legendosh	36
5	Enderslayerxz3	19
6	beeperbeeper5	18
7	YungMaki	17
8	KartivGal	16
9	Inchef	14
10	ImpavidArcher	13
11	OtariCharlie	12
12	500am	11
13	MSK__	10
14	Mahoose	6
15	joethahobo	4
15	Nycteus_	4
17	Blackberry1310	3
17	sebastiensaborio	3
19	pintsizedrogue	2
19	Myszoaz	2
21	Drlzyy	1
21	Yatitay	1
21	Tommhh	1
21	diamondgolem35	1
21	Kkanot	1
21	egglapras	1
21	SuperPooch06	1
21	EveryonesUncle	1
21	CheifJumbo	1
21	WYFYoyo	1
