rank	username	minecraft:used/minecraft:black_glazed_terracotta
1	lillips	1211
2	AdmiralSmoke	1069
3	ooga47	813
4	ImpavidArcher	753
5	QuiCreans	551
6	_Virify_	480
7	TheShyPig	337
8	noam464	190
9	YungMaki	160
10	Crowman1	150
11	AnnieBathory	135
12	Jackattack53	124
13	PaperCanvas	116
14	ZoomieZoomie	84
15	Inbefour	72
16	Lez_	65
17	Spacewardharpy7	59
18	Prismyst	51
19	Mahoose	42
20	Iamthejo	37
21	Rebytre	35
22	djancak	32
23	Inchef	30
24	MineMaster0012	25
25	olliebollie48	21
26	Elastiq	20
27	StinkyDiplomat	19
28	Optiprimus	14
29	Hyp3rion_	12
30	Di_infiri	10
30	h2p_emrld	10
32	pixelviolin	9
33	PegLegPete93	8
33	Dan_Scha	8
33	ReSynced	8
33	lordpipe	8
33	monky_irl	8
38	joethahobo	3
38	Hiryu27	3
38	EngagedGrub41	3
38	ConnorDanky_	3
42	kekhon	2
42	Shogunite	2
42	Quotary	2
45	ROY4LE	1
45	Phroni	1
45	Krowuss	1
45	Bumpy419	1
45	ItsDeltaMC	1
45	Soplight	1
45	Steelynan	1
