rank	username	minecraft:used/minecraft:cherry_trapdoor
1	Lez_	534
2	k_ce	203
3	LuvLuvLove	152
4	RatatJuice	142
5	Reneedium	117
6	cuddlyMonster	113
7	robonya_	105
8	bl1ss0	83
9	Enderxz3	82
10	Mr_Byzantine	80
11	Hoid_the_Roamer	76
12	EveryonesUncle	72
13	StarCookiees_	70
14	Alteriity	58
14	KamFurnace	58
16	Kowcio_	56
17	Mattesco	49
18	Hahaa_0	46
19	Moofyman	43
19	XxCookiequeenxX	43
21	Krowuss	41
22	mymayowasgone	39
23	Myntsys	38
24	OreTheBear	37
25	Buuck_	34
26	Napoleonpancake	28
27	Merv__	26
28	milltesco	25
29	TheSecondLord	24
30	PazinGaming	23
31	Mr_Sun15	20
32	HUNTERmaun	18
33	luseis	13
34	Archsam	12
35	Werbe	9
35	icim	9
37	pintsizedrogue	7
38	MattieHD	6
38	Pumpkin_P_Patch	6
40	royal_2	5
41	lorywithay	4
41	Huwulling	4
41	MAns_44	4
41	Gus2005	4
45	_witch_craft_	3
45	Jimb0nat0r	3
47	noam464	2
47	craaaash	2
47	11Brewer	2
47	Legendosh	2
51	Jackattack53	1
51	U_Mos_	1
