rank	username	minecraft:used/minecraft:glass_bottle
1	Hyp3rion_	7212
2	Ezekson	2055
3	pintsizedrogue	1733
4	EMC_	1417
5	Jiminie	1191
6	Di_infiri	1029
7	Racengan	901
8	Hoid_the_Roamer	834
9	ProfessorBee	809
10	thewindmillman	714
11	kekhon	677
12	TechnoNinja64	666
13	Mahoose	607
14	Inchef	586
15	Snowflowe	489
16	Eraxa	468
17	Smoke____	459
18	eitanzaki	451
19	TheSecondLord	444
20	SingedBread	440
21	HellsSponge	436
22	wezzzi	428
23	noam464	412
24	stavgod	391
25	Blackberry1310	363
26	djancak	344
27	joethahobo	340
28	33sudo	294
29	YungMaki	282
30	DarlaMeow	270
31	Historical_Sand	268
32	audiocracked	267
33	PlasticOtari	263
34	chipklip	242
35	gabriels543	235
36	KomputerDude	232
37	Vorlice	224
38	Soplight	222
38	Skippeh	222
40	beeperbeeper5	208
41	jnp_gaming	207
42	fred870d	202
43	Miko_Fullbuster	200
44	Lord_Jord	190
45	Akoot_	185
46	_naturell	178
47	Hisiste	176
48	tobinwilliams	168
49	Spacewardharpy7	162
50	claivin	160
51	monky_irl	159
52	Comma__	158
53	fluddd	152
54	xxPipperDipperxx	151
55	AlphaWolfPlaysMC	147
56	Jovaphobic	146
56	Blu3beast	146
58	Inbefour	144
59	Arceus1975	142
60	12Magner05	141
60	EcksDofficial	141
62	TheShyPig	137
63	Fullut	136
64	kinas45y5	133
65	Blaiku	132
66	ApophisNova	128
66	MyNamaSheff	128
68	Merv__	126
69	Kakolbus	122
70	mwrty	116
71	stellarjay	114
72	m_be9	104
73	loveseeker	102
74	pixelviolin	100
75	Xclax101	97
76	EngagedGrub41	96
77	bloodbiter	92
78	Hiryu27	90
79	Awyrlas	84
79	h2p_emrld	84
81	PhantomsGhost_	82
81	_TCARREIRA_	82
83	Frozil20	79
83	Paintz	79
85	Rumpletaezer	70
86	Drlzyy	69
87	lizardfightclub	67
88	ratglock	65
89	Smashic	64
89	prizm_	64
89	SuperPooch06	64
89	Segotep999	64
93	masskedman	63
93	MightyWertu	63
93	__tomato	63
96	ROY4LE	61
96	Poppy235	61
98	stahouo	56
99	rarrq	55
99	BlankityMcBlank	55
101	livingdaydreams	54
101	youhjjhhhjj	54
101	FirsTimeGamingTV	54
104	Onennon	52
105	Fildyr	51
105	Kubeusz2010	51
107	Zaridey	49
108	the_russell1611	48
108	DanTheBuilderino	48
110	RodSerlingCringe	47
110	Sky_light_KING	47
110	Hermanni__	47
113	oxfordschool	46
113	FishisTTV	46
115	sp00ky_ghost977	45
116	Bumpy419	43
117	Dogcorn69420	42
118	dudcreeper	41
118	BilboBaggins23	41
118	orxngejuice	41
118	ItsAki_	41
122	SaucyDark	40
122	Chromary	40
124	MAns_44	38
125	Auseawesome	37
125	Kamflame10	37
125	_Boipl_	37
125	PigDab	37
125	JayToe	37
130	fr0stss	36
130	xo_Marren_xo	36
132	Lowjinx	35
133	500am	34
134	MrExplorer	33
134	SlayerCrypto	33
136	RebelAndroid	32
136	Ryker	32
136	Zythose	32
139	MattieHD	31
139	binman420	31
139	Enderslayerxz3	31
142	Paint	30
142	6king6colt6	30
142	Euclidoris	30
142	EveryonesUncle	30
142	Fuhrer_Teemo	30
147	SammiWolfGirl	29
148	T045RTY	28
148	Myszoaz	28
148	crying_wolf_13	28
148	egglapras	28
148	MilleGrug	28
148	Steelynan	28
154	NotMeanttoChange	27
154	surfinggiraffejp	27
154	GoofyBread	27
157	awesomeoneme	25
157	FlashMigma	25
159	Nicky19	24
159	Zoeyfortnite	24
161	jacxhadow	23
161	mimbo1211	23
161	Winston_Ingram	23
164	Groovy_MoonBird	22
164	MrAdamant209	22
164	Vizzoid	22
164	Ardennes	22
164	Jackattack53	22
164	Rebytre	22
164	MakeHistory157	22
164	PortlyPete69	22
164	LeeMcGee30	22
164	alderban107	22
174	diamondgolem35	21
174	Solar_Power	21
174	NomadicRobin_	21
174	Freak_Genius	21
178	RatatJuice	20
178	_Karmaa	20
180	ThePoliteG	19
180	UncreativeArtist	19
180	LeauVox4921	19
180	proxivitoid	19
180	StinkyDiplomat	19
180	Spenduh	19
186	_Virify_	18
186	ToastedGamingYT	18
186	ItzWqlfy	18
186	Fizznut909	18
186	WYFYoyo	18
191	Sleek_Storm_721	17
191	SteveCraftBlocks	17
191	M_Patata	17
191	jcool7	17
191	2blox	17
196	CoffeeNoir	16
196	Malorn_Aetherius	16
196	walll	16
196	fw3xywashere	16
196	AuroraSkies	16
196	MineMaster0012	16
202	ImpavidArcher	15
202	JingleLizi	15
202	MOSS000	15
202	SoftSix	15
202	Guillemet	15
202	beeleg	15
202	Mewar	15
202	_Bguette_	15
202	Dusk_95	15
202	Kowcio_	15
202	lcvezra	15
202	NATE_the_HALO	15
202	TheOnlyRake	15
202	calamariclam_I	15
216	lillips	14
216	MasterNueve	14
216	Optiprimus	14
219	teslawolf38	13
219	Swexti	13
219	YungJakobo	13
219	CollinMH06	13
219	Marbz_	13
219	Lil_Breadboy	13
219	groofles	13
219	JESS_THE_RERE	13
219	Quaintster	13
219	EcksD	13
229	Ssor69	12
