rank	username	minecraft:used/minecraft:glass_pane
1	joethahobo	50289
2	thewindmillman	13681
3	Ezekson	7274
4	EveryonesUncle	6947
5	Sral7	4229
6	Freak_Genius	4027
7	Legendosh	4025
8	TheShyPig	4020
9	El_Jalapeno	3949
10	beeperbeeper5	3547
11	thescout7	3399
12	Merv__	3116
13	Awyrlas	3032
14	Onennon	2621
15	EcksDofficial	2321
16	Smoke____	2015
17	MilleGrug	2003
18	Historical_Sand	1717
19	_Dean_123	1685
20	Shogunite	1641
21	gcaisawesome	1534
22	SkateboardR6	1500
23	vandmanden	1361
24	loveseeker	1312
25	ImpavidArcher	1275
26	fred870d	1190
27	m_be9	1187
28	SingedBread	1112
29	KnightmareD	1057
30	Jovaphobic	959
31	TooManyDuck	955
31	Di_infiri	955
33	sebastiensaborio	917
34	Eraxa	863
35	Racengan	837
36	Xclax101	828
36	Soplight	828
38	Mahoose	784
39	rarrq	782
40	CoffeeNoir	777
41	Vorlice	753
42	Western_1	752
43	Cortexia	719
44	Optiprimus	666
45	PlasticOtari	664
46	KarlKaek	662
47	_Karmaa	649
48	BumbleBeever	633
49	Airem_Core	613
50	audiocracked	589
51	Frozil12	580
52	VentiHilton	577
53	r123moore	566
54	ayamefag	565
55	SuperPooch06	554
56	pintsizedrogue	535
57	MightyWertu	529
58	titanlax	516
58	xxPipperDipperxx	516
60	TheSeismicDuck	504
61	Skippeh	497
62	Barlycorn	486
63	ogoa	484
64	MinttyFressh	478
65	ABUSNA1996	450
66	gabriels543	431
67	TheTrueClipse	415
68	eiC_	398
68	yaboo88	398
70	Windo_licker	395
71	Stiar	388
72	seanitoo	385
73	Ssor69	384
73	IAmTheWalrus910	384
75	purpolepickle	381
76	fluddd	378
77	ThePoliteG	376
78	lillips	372
79	_stets	367
80	Lord_Zacler	362
81	Cocoamallows	355
82	lcvezra	349
83	OnlyOfficial	344
84	Whiterooster001	342
85	Werbe	338
86	Mr_Byzantine	333
87	MSK__	331
87	HellsSponge	331
89	Blackberry1310	330
90	youhjjhhhjj	328
91	Zythose	326
92	Dusk_95	323
93	selectrix	320
94	Groovy_MoonBird	319
95	Meatlaugh	312
96	Kferno	311
97	T045RTY	306
98	RobotMinion101	298
99	Comma__	297
100	censorsheep	296
101	DAD_1996	295
101	Enderslayerxz3	295
103	ShedJr_	294
104	lOlmantschi	293
104	oxfordschool	293
106	sp00ky_ghost977	291
107	2Stout	290
108	TechnoNinja64	287
109	Dedalus36	284
110	madderfall	279
111	__tomato	277
112	Hermanni__	276
113	500am	272
114	Kryktal	268
115	Warlord324	259
116	Rumpletaezer	254
117	Quotary	251
118	potato292	250
119	diggydog67	243
120	Blamphe	241
121	Doom_melon	240
122	Inchef	233
123	CharlieButt	227
124	morgangauk	225
125	soundad	222
126	Kubeusz2010	221
127	killmeiamtraitor	218
127	fw3xywashere	218
129	crying_wolf_13	216
129	smogfrog	216
131	bruh072	215
132	ProfessorDiaper	213
133	himak1	211
134	KingMatthew506	210
135	dudcreeper	205
136	PhantomsGhost_	202
137	Kateesaur	201
138	fffMike	197
138	BreadBacon	197
140	stellarjay	195
141	Matek_	191
142	Travasaur	190
143	slkiey	189
143	Marbz_	189
145	__Fanda__	184
146	PigDab	183
147	trexgb	180
148	RodSerlingCringe	172
149	6king6colt6	170
150	Inbefour	169
151	Nicky_H225	168
151	redikul	168
151	Deathkob	168
151	BlankityMcBlank	168
155	TheThomas69	165
155	PabloGonza02	165
157	Luigipunch989	162
157	Deguns123	162
159	The_slideV3	159
160	dendydoom	157
161	littlesophiagirl	154
162	Hyugo	152
162	Akoot_	152
164	_NieToksikpl_	150
165	FishyBoy3811	149
166	DepressedCubic	148
167	DarkS0L	147
168	_naturell	146
169	Matemaks2137	145
170	Bumpy419	142
171	SaucyDark	139
172	SkyHighSkier	138
173	SHAOBADMAN	137
174	Karetoko	136
174	MAns_44	136
176	Louiis123	134
177	MattieHD	133
178	Njensen7	132
179	Auseawesome	131
180	Russiancat1	129
181	AgressiveEggdog	128
181	Norrhede	128
183	noam464	126
183	Zaridey	126
183	Queen_Jalapeno	126
183	Jimi7hits	126
183	claivin	126
188	Arceus1975	125
188	TeenMomTom	125
190	bbaobei	122
190	TahkoLive	122
190	_Bguette_	122
193	Froste131	119
193	DaviusMaximoose	119
193	ADEXTV	119
196	Bazongoman	118
197	bigstankyy	117
197	Zetsey	117
199	Jackster03	114
200	TildaAndrea	113
200	shdesolt	113
200	TheSecondLord	113
203	Fuhrer_Teemo	111
204	jambvds	108
204	SammiWolfGirl	108
206	561cool	107
207	UltraZombie	105
208	kekhon	104
208	Covalents	104
208	TheDankPlatypus	104
211	CarryLine	102
211	radioactv_jelly	102
211	gaming4Naming	102
214	set67	101
214	TrollerYT	101
216	TheFlfthHorseman	100
216	UncleDanDan	100
216	xof_on_microwave	100
219	ApophisNova	99
219	MyNamaSheff	99
221	KeruNatsema	98
221	DrGrant	98
223	Jackattack53	96
223	FlashMigma	96
225	TableTim	94
225	brycepants	94
225	Soffbord	94
228	Hiryu27	93
229	weezygator	92
229	SvenskaHugo	92
231	squigglybones	91
231	eitanzaki	91
233	MunkaKris	90
234	Menthas	89
234	livingdaydreams	89
236	Otto_chan	88
237	AuroraSkies	87
238	Foof13	86
238	ReyTheLegend	86
240	CollinMH06	85
240	dezxalo	85
242	GingerNeutron	84
242	natajimi	84
242	avalan64	84
245	FroggoTheDoggo	83
245	laron58	83
245	anbbang	83
248	egglapras	80
248	hcb238	80
248	CrateOfBoxes	80
