rank	username	minecraft:used/minecraft:emerald_ore
1	Mattesco	145
2	joethahobo	130
3	500am	117
4	Iamthejo	100
5	pintsizedrogue	99
6	Hyp3rion_	76
7	Inbefour	69
8	Historical_Sand	59
9	beeperbeeper5	58
10	Skippeh	49
11	EMC_	44
12	Spacewardharpy7	38
13	Enderxz3	37
14	RadarHz	34
15	oscminus	33
15	claivin	33
15	Segotep999	33
18	eitanzaki	30
18	AdmiralSmoke	30
20	pappaberg	28
21	MAns_44	27
22	TheThomas69	23
23	Mr_Byzantine	20
23	H72l9w	20
23	starbits140	20
23	Nicserso	20
27	Flores991	19
27	TheShyPig	19
27	ClemenPine	19
27	MakeHistory157	19
31	Fullut	18
32	ApophisNova	17
32	MyNamaSheff	17
34	ivorico	15
34	ReSynced	15
34	MilleGrug	15
34	FishisTTV	15
38	MandenR1	14
39	Snowflowe	13
39	Maenara	13
39	SlinkyPinky	13
42	FirsTimeGamingTV	12
42	TheOuterCore	12
44	Kowcio_	11
44	TheALV	11
46	benediktine1	10
46	XboxPanda	10
46	Shogunite	10
46	fluddd	10
46	sp00ky_ghost977	10
51	Eczbox	9
51	Hoid_the_Roamer	9
51	XeroByMyth	9
51	Eczbek	9
51	EcksD	9
56	Merv__	8
56	Frozil20	8
56	jacxhadow	8
56	Winklepicker279	8
60	ItsHydroMC	7
60	HellsSponge	7
60	Blu3beast	7
63	ColeSnyder	6
63	SpaceGrenadier	6
63	TheSecondLord	6
63	MinttyFressh	6
63	Hanselhoof	6
63	Rebytre	6
63	LexMakesHistory	6
63	stavgod	6
71	Cowison	5
71	Kegradigm	5
71	Crowman1	5
71	Arceus1975	5
71	Vetral1	5
71	Tyrannosplart	5
71	Manaateee	5
71	xzvu	5
79	Bandito_Roamer	4
79	Natty	4
79	Lez_	4
79	hanaryheatwave	4
79	LeonelSalamanca	4
79	EfficientC52	4
79	Chaotic1s	4
79	_Yonk_	4
79	jcool7	4
79	PlasticOtari	4
89	Healthing	3
89	ITDV	3
89	noam464	3
89	Kakolbus	3
89	Kouridragon	3
89	DJenthousiast	3
89	Steelynan	3
89	Legendosh	3
97	6king6colt6	2
97	BlancoFlaco	2
97	Pofen	2
97	kekhon	2
97	ProfessorBee	2
97	Megarboh	2
97	_Dean_123	2
97	Smashic	2
97	Kamflame10	2
97	r123moore	2
97	MyNameIsJobo	2
97	Di_infiri	2
97	Bumpy419	2
97	BronkerBrum	2
97	Hiryu27	2
97	Werbe	2
97	NomadicRobin_	2
97	EveryonesUncle	2
97	Lutres_	2
97	Fuad_R	2
97	Druid95	2
97	ItsDeltaMC	2
97	kyouma777	2
97	PortlyPete69	2
97	Njensen7	2
122	CLG_Kata	1
122	Badenbeele	1
122	Yatitay	1
122	ssleepless	1
122	livingdaydreams	1
122	rarrq	1
122	Blackberry1310	1
122	bloodbiter	1
122	MattieHD	1
122	set67	1
122	orxngejuice	1
122	Covalents	1
122	M_Patata	1
122	shadowthemonkey	1
122	Marbz_	1
122	corpsecity	1
122	killmeiamtraitor	1
122	Skylord_Luke	1
122	F_Uhre	1
122	sammidk	1
122	masskedman	1
122	Soap_Bender	1
122	NameGenerat0r	1
122	Blaiku	1
122	TheImperial	1
122	Racengan	1
122	Barlycorn	1
122	Typadopoulos	1
122	monky_irl	1
122	MasterNueve	1
122	07shiny	1
122	YungMaki	1
122	UCP_TheKingK	1
122	brofrickcheaters	1
122	NATE_the_HALO	1
122	Ezekson	1
122	Jimb0nat0r	1
122	WYFYoyo	1
