rank	username	minecraft:used/minecraft:gold_block
1	joethahobo	10502
2	MilleGrug	9180
3	Spacewardharpy7	7518
4	thewindmillman	3393
5	EcksD	2856
6	gcaisawesome	2446
7	Nycteus_	2019
8	Frozil12	1714
9	Smoke____	1691
10	beeperbeeper5	1383
10	Snowflowe	1383
12	Legendosh	1288
13	Di_infiri	914
14	Segotep999	892
15	GlitchyPlate810	885
16	Groundler	781
17	YungMaki	749
18	oxfordschool	740
19	500am	733
20	Megarboh	681
21	fw3xywashere	661
22	gabriels543	634
23	_Nuf	588
24	NomadicRobin_	575
25	Skippeh	559
26	Mahoose	545
27	SammiWolfGirl	532
28	MightyWertu	524
29	eitanzaki	475
30	lillips	471
31	ROY4LE	457
32	CoffeeNoir	435
33	Historical_Sand	427
34	Menthas	400
35	Hyp3rion_	388
36	Fullut	358
37	Racengan	351
38	T045RTY	345
39	RebelAndroid	326
40	lcvezra	293
41	claivin	291
42	Ezekson	290
43	Akoot_	271
44	WyngGoy	267
45	Groovy_MoonBird	254
46	yulgur1	248
47	Miko_Fullbuster	245
48	Enderslayerxz3	241
49	RoskobiOne	238
50	El_Jalapeno	232
51	Xclax101	231
52	RodSerlingCringe	211
53	Jackattack53	207
54	Bumpy419	199
55	PigDab	194
56	SteveWithClout	190
57	masskedman	187
58	Incinere	185
59	Steelynan	182
60	PlzNoBM	179
61	awesomeoneme	176
62	noam464	174
63	sp00ky_ghost977	173
64	Kubelz	169
65	Nesquiczek	165
65	Lord_Jord	165
67	pintsizedrogue	164
68	jcool7	162
68	Powowowow	162
70	kekhon	161
71	Blu3beast	159
72	BuildTheGondola	157
73	Maenara	155
73	MAns_44	155
75	diggydog67	152
76	TheShyPig	151
77	fanofbands101	146
77	Zaridey	146
79	NotMeowMix	144
80	Corbsman	142
80	VentiHilton	142
82	set67	140
83	HellsSponge	136
83	fluddd	136
83	Soplight	136
86	PeteO1995	124
87	Skylord_Luke	122
88	teslawolf38	115
89	stahouo	110
90	SingedBread	107
91	RadarHz	105
92	TheSecondLord	103
92	ToastedGamingYT	103
94	MeetTheWollo	102
95	_TCARREIRA_	101
96	ExtraDumb	96
96	noodlepack	96
98	Onennon	94
99	NoChumpChange	92
100	AuroraValkyrie	91
101	Iagoku	87
102	Deathkob	85
103	Blaiku	84
103	alderban107	84
105	Comma__	81
106	chipklip	79
107	Inchef	78
108	fkGrim	77
108	Kowcio_	77
110	Shogunite	69
111	DanTheBuilderino	67
112	lordpipe	65
113	Prodiginus	64
113	FelixPSY375	64
115	SaucyDark	63
116	Th6masss	60
117	Merv__	59
118	xxPipperDipperxx	58
118	Dusk_95	58
120	Gundam_Steven	57
120	_Karmaa	57
120	MakeHistory157	57
123	tobinwilliams	56
124	Werbe	52
125	ImpavidArcher	51
125	RobotMinion101	51
125	pixelviolin	51
128	Rebytre	49
128	Freak_Genius	49
130	Sheldor097	48
131	TheDankPlatypus	44
131	RefluxRatio	44
133	MyNameIsDakar	43
134	zorin123	42
134	ClemenPine	42
134	Nicserso	42
137	DemTechAlpha	40
138	vandmanden	39
139	_Virify_	38
139	12Magner05	38
141	TAKrules	37
141	PortlyPete69	37
143	Awyrlas	36
143	Kyrum2169	36
145	Tobinator_007	35
145	G1ldor	35
147	KGTV	33
148	Tommhh	32
148	HolyVenom	32
148	Barlycorn	32
151	__tomato	31
152	Rasmanden	30
153	lotarp	29
153	MSK__	29
153	Lutres_Torane	29
156	EveryonesUncle	28
156	Wolverine4302	28
158	YungJakobo	27
158	07shiny	27
158	kinas45y5	27
161	Kamflame10	25
161	Rumpletaezer	25
161	fred870d	25
164	soundad	24
164	_Dean_123	24
164	501g	24
164	Luigipunch989	24
164	h2p_emrld	24
169	Mewar	23
170	BodaciousCake	22
171	__Fanda__	21
172	H72l9w	20
173	Jovaphobic	19
174	DAD_1996	18
174	Invisie	18
176	nataliecool	17
176	CarltheCuck	17
176	nitram49b	17
176	burbankbuilder28	17
176	Hiryu27	17
176	PlasticOtari	17
182	MixerDixer	16
182	q_wq	16
182	boog4loo	16
