rank	username	minecraft:dropped/minecraft:jungle_stairs
1	SaucyDark	336
2	Freak_Genius	92
3	Uzbeki_John	85
4	kinas45y5	71
5	Racengan	32
6	Hyp3rion_	24
7	sebastiensaborio	18
8	MovingFish7	14
9	oxfordschool	12
10	SvenskaHugo	9
11	RobotMinion101	8
11	Eraxa	8
13	eitanzaki	7
13	EveryonesUncle	7
15	Rainaldus	6
16	beeperbeeper5	5
16	Blackberry1310	5
16	bloodbiter	5
16	Hoid_the_Roamer	5
16	lizardfightclub	5
21	Swexti	4
21	500am	4
21	lillips	4
24	burbankbuilder28	3
24	fred870d	3
24	LilLizardWizard	3
24	jnp_gaming	3
28	TheSecondLord	2
28	type11	2
28	BlueZabu	2
28	Onennon	2
28	cedric72	2
28	Akoot_	2
28	wezzzi	2
28	KingMatthew506	2
36	T045RTY	1
36	rarrq	1
36	kekhon	1
36	Kamflame10	1
36	thescout7	1
36	Xalithia	1
36	xxPipperDipperxx	1
36	mariominejedi	1
36	loveseeker	1
36	MyNameIsJobo	1
36	Bumpy419	1
36	masskedman	1
36	ori0le	1
36	HellsSponge	1
36	Blaiku	1
36	Keeogwi	1
36	Spacewardharpy7	1
36	voiding_	1
36	EcksDofficial	1
