rank	username	minecraft:dropped/minecraft:diamond_hoe
1	500am	51
2	gcaisawesome	37
3	noam464	19
4	eitanzaki	18
5	Di_infiri	16
6	CoffeeNoir	15
7	Groovy_MoonBird	12
8	EcksD	11
9	beeperbeeper5	8
9	thescout7	8
9	Blaiku	8
9	MovingFish7	8
13	_Virify_	7
13	Freak_Genius	7
13	jnp_gaming	7
16	Mahoose	6
16	Smoke____	6
18	Prodiginus	5
18	NomadicRobin_	5
20	rarrq	4
20	kekhon	4
20	Windo_licker	4
20	stahouo	4
20	kinas45y5	4
25	I_Am_Mushkin	3
25	joethahobo	3
25	Blackberry1310	3
25	Rebytre	3
25	Akoot_	3
25	claivin	3
25	Blu3beast	3
25	Nycteus_	3
25	Cocoamallows	3
25	Kyrum2169	3
25	HesDemonPants	3
36	Bandito_Roamer	2
36	adarkwindblows	2
36	q_wq	2
36	Hpdinosaur	2
36	Comma__	2
36	bloodbiter	2
36	Z3braYTIL	2
36	set67	2
36	Masssonnn	2
36	Arceus1975	2
36	Bumpy419	2
36	Afinnity	2
36	fred870d	2
36	Dan_Scha	2
36	EveryonesUncle	2
36	MyNameIsDakar	2
36	Racengan	2
36	Spacewardharpy7	2
36	Kowcio_	2
36	Legendosh	2
56	pintsizedrogue	1
56	EMC_	1
56	KarlKaek	1
56	bigstankyy	1
56	Dedalus36	1
56	ImpavidArcher	1
56	Tolhart	1
56	ManyVoices	1
56	T045RTY	1
56	ShedJr_	1
56	Myszoaz	1
56	Historical_Sand	1
56	Digcove	1
56	Vizzoid	1
56	titanlax	1
56	Auseawesome	1
56	QuakerOatsGod	1
56	TheSecondLord	1
56	m_be9	1
56	Fullut	1
56	boog4loo	1
56	UncreativeArtist	1
56	emrekn	1
56	Xalithia	1
56	MyNameIsJobo	1
56	Chromary	1
56	F_22_	1
56	thewindmillman	1
56	Hyp3rion_	1
56	wTXop	1
56	GoodWeed	1
56	Shiirazuku	1
56	Kynigito	1
56	PigDab	1
56	MonitorLizards	1
56	RodSerlingCringe	1
56	Maenara	1
56	Leonidas2k17	1
56	Wowful	1
56	masskedman	1
56	fkGrim	1
56	chipklip	1
56	Beagle_Boy_Bop	1
56	DarlaMeow	1
56	The_slideV3	1
56	Shogunite	1
56	FlashMigma	1
56	censorsheep	1
56	Frozil12	1
56	Bloo2406	1
56	_czarny	1
56	Vorlice	1
56	Yahir091	1
56	Airem_Core	1
56	TheTommyGun63	1
56	OG_Songsee	1
56	stavgod	1
56	YungMaki	1
56	Segotep999	1
56	lcvezra	1
56	PortlyPete69	1
56	sebastiensaborio	1
56	LeeMcGee30	1
56	Hermanni__	1
56	oxfordschool	1
56	UrbanPlanner1978	1
56	TechnoNinja64	1
56	PlasticOtari	1
56	WYFYoyo	1
56	JohnPrice	1
56	trexgb	1
56	FishisTTV	1
